"Z_Ji_[14,1]","Z_Ji_[14,2]","Z_Ji_[14,3]","Z_Ji_[14,4]","Z_Ji_[14,5]","Z_Ji_[14,6]","Z_Ji_[14,7]","Z_Ji_[14,8]","Z_Ji_[14,9]","Z_Ji_[14,10]","Z_Ji_[14,11]","Z_Ji_[14,12]","Z_Ji_[14,13]","Z_Ji_[14,14]","Z_Ji_[14,15]","Z_Ji_[14,16]","Z_Ji_[14,17]","Z_Ji_[14,18]","Z_Ji_[14,19]","Z_Ji_[14,20]"
0.16940859,0.216959385,0.204598919,0.155329453,0.098271576,0.052702503,0.024192115,0.009562762,0.003268245,0.000968503,0.000249372,5.59E-05,1.09E-05,1.86E-06,2.76E-07,3.58E-08,4.07E-09,4.04E-10,3.50E-11,2.66E-12
0.166061248,0.213979372,0.203651481,0.156516036,0.100550343,0.054924619,0.025758411,0.010434387,0.003665768,0.001120073,0.000298273,6.93E-05,1.41E-05,2.50E-06,3.90E-07,5.31E-08,6.35E-09,6.66E-10,6.12E-11,4.94E-12
0.16284165,0.211061378,0.202644026,0.1575738,0.102720477,0.057102873,0.027333563,0.011334409,0.004088084,0.00128615,0.000353686,8.51E-05,1.80E-05,3.33E-06,5.41E-07,7.73E-08,9.71E-09,1.07E-09,1.04E-10,8.92E-12
0.159742756,0.208205038,0.201584129,0.158511124,0.104784954,0.059235047,0.028914011,0.012260676,0.004534721,0.001467064,0.000416018,0.000103567,2.27E-05,4.36E-06,7.40E-07,1.10E-07,1.46E-08,1.69E-09,1.73E-10,1.57E-11
0.156758017,0.205409771,0.200478592,0.15933589,0.106746883,0.061319334,0.030496442,0.013211034,0.005005109,0.001663073,0.00048566,0.000124841,2.83E-05,5.65E-06,9.97E-07,1.55E-07,2.14E-08,2.61E-09,2.82E-10,2.69E-11
0.153881344,0.202674824,0.199333527,0.160055505,0.108609474,0.063354296,0.032077782,0.014183342,0.005498594,0.001874369,0.000562977,0.000149224,3.49E-05,7.24E-06,1.33E-06,2.16E-07,3.10E-08,3.96E-09,4.48E-10,4.50E-11
0.151107061,0.199999306,0.198154425,0.160676921,0.110375991,0.065338831,0.033655195,0.015175488,0.006014445,0.002101077,0.000648311,0.00017697,4.28E-05,9.17E-06,1.74E-06,2.95E-07,4.42E-08,5.90E-09,6.99E-10,7.37E-11
0.148429877,0.197382215,0.196946218,0.16120666,0.112049729,0.067272131,0.035226074,0.016185403,0.006551869,0.002343259,0.000741975,0.000208331,5.19E-05,1.15E-05,2.27E-06,3.97E-07,6.21E-08,8.63E-09,1.07E-09,1.18E-10
0.145844853,0.194822466,0.195713342,0.161650834,0.113633983,0.069153653,0.036788033,0.017211067,0.007110019,0.002600914,0.000844255,0.000243554,6.25E-05,1.43E-05,2.91E-06,5.30E-07,8.59E-08,1.24E-08,1.61E-09,1.86E-10
0.143347372,0.192318913,0.194459782,0.162015171,0.115132028,0.070983089,0.038338895,0.018250521,0.007688004,0.002873986,0.000955407,0.000282882,7.47E-05,1.76E-05,3.71E-06,6.98E-07,1.17E-07,1.77E-08,2.38E-09,2.88E-10
0.140933117,0.189870359,0.193189122,0.162305035,0.116547107,0.072760336,0.039876687,0.019301871,0.008284896,0.003162364,0.001075656,0.000326552,8.86E-05,2.15E-05,4.67E-06,9.09E-07,1.58E-07,2.48E-08,3.48E-09,4.38E-10
