"[14,1]_1214.227","[14,1]_1214.283","[14,1]_1214.397","[14,2]_1214.211","[14,2]_1214.325","[14,2]_1214.495","[14,3]_1214.213","[14,3]_1214.383","[14,3]_1214.61","[14,4]_1214.232","[14,4]_1214.459","[14,4]_1214.743","[14,5]_1214.273","[14,5]_1214.556","[14,5]_1214.896","[14,6]_1214.332","[14,6]_1214.672","[14,6]_1215.07","[14,7]_1214.41","[14,7]_1214.807","[14,7]_1215.261","[14,8]_1214.509","[14,8]_1214.963","[14,8]_1215.474","[14,9]_1214.628","[14,9]_1215.139","[14,9]_1215.706","[14,10]_1214.767","[14,10]_1215.334","[14,10]_1215.958","[14,11]_1214.923","[14,11]_1215.547","[14,11]_1216.229","[14,12]_1215.102","[14,12]_1215.783","[14,12]_1216.521","[14,13]_1215.298","[14,13]_1216.036","[14,13]_1216.832","[14,14]_1215.514","[14,14]_1216.309","[14,14]_1217.162","[14,15]_1215.75","[14,15]_1216.602","[14,15]_1217.512","[14,16]_1216.006","[14,16]_1216.915","[14,16]_1217.882","[14,17]_1216.281","[14,17]_1217.247","[14,17]_1218.271","[14,18]_1216.575","[14,18]_1217.598","[14,18]_1218.68","[14,19]_1216.89","[14,19]_1217.97","[14,20]_1217.229","[14,20]_1218.367","[14,21]_1217.583","[14,21]_1218.778","[14,22]_1217.963","[14,23]_1218.35","[14,24]_1218.768"
0.031104665,0.026016961,0.003977732,0.049387899,0.015600518,0.002580006,0.046185476,0.015766224,0.002917054,0.057207659,0.012385329,0.001106117,0.047805001,0.005779536,0.000499395,0.022518711,0.006836738,0.000509573,0.030904255,0.00317754,0.000194541,0.011255731,0.007770694,0.000165644,0.006650944,0.002930723,6.48E-05,0.015966614,0.005746344,0.000287409,0.002689658,0.002749625,0.000486451,0.032691806,0.008295838,0.00341601,0.034313828,0.010711752,0.00500854,0.032440811,0.01168918,0.005753859,0.031292843,0.012337553,0.006337744,0.030273162,0.012848033,0.006852751,0.029392543,0.013268531,0.007316721,0.028623225,0.013622262,0.007735294,0.033354956,0.016627014,0.032897504,0.017086594,0.032491573,0.017494263,0.049986012,0.049987389,0.0499886
0.032266242,0.022961988,0.004064453,0.045742917,0.017631992,0.003462035,0.040028062,0.020074264,0.00533455,0.047513229,0.020871689,0.002955416,0.042530149,0.013605829,0.002043894,0.023864741,0.01789581,0.002542726,0.03423139,0.014000123,0.001791028,0.0291532,0.017845727,0.000862628,0.014757684,0.016962205,0.000887588,0.045029656,0.013224503,0.001160231,0.013072935,0.01301348,0.000832295,0.056238958,0.010877386,0.000633149,0.05978671,0.008341331,0.000739733,0.042363944,0.010690026,0.002452012,0.036098026,0.011133036,0.005155843,0.030964056,0.012547343,0.00659784,0.029679766,0.013129725,0.007179231,0.028817532,0.013527532,0.007630137,0.033471585,0.016505841,0.032995968,0.016987704,0.032573722,0.017411888,0.049985834,0.049987248,0.04998849
0.033186809,0.020889519,0.004008738,0.043141353,0.019247152,0.003879976,0.036536771,0.022156408,0.007049088,0.041762894,0.025395178,0.004527767,0.038150854,0.018595199,0.003682881,0.023722346,0.024241557,0.004755702,0.034587026,0.021218408,0.003924523,0.035749663,0.023217438,0.001698696,0.02334507,0.025233991,0.002092134,0.045017764,0.018320644,0.002664358,0.027319652,0.019882001,0.002190931,0.052044018,0.016853397,0.001660796,0.056733854,0.013613456,0.00124863,0.045482416,0.019011386,0.001109249,0.058136643,0.013017054,0.000943592,0.047488162,0.009795873,0.002299317,0.03882135,0.011684064,0.004872036,0.02897601,0.013317708,0.007182405,0.032329362,0.016236064,0.03299116,0.016859845,0.032611613,0.01731478,0.049985051,0.049985633,0.049988254
0.033802811,0.019484305,0.003950835,0.04119568,0.020539965,0.004068848,0.034343481,0.02332434,0.008253461,0.038189396,0.027962217,0.005724386,0.035080737,0.02155447,0.005038376,0.023151731,0.027634867,0.006579218,0.033568405,0.025033585,0.005776455,0.036321134,0.026400342,0.002477202,0.027229514,0.029663406,0.003242354,0.041326104,0.021563888,0.004250083,0.032292761,0.024103963,0.00369979,0.046786426,0.021007325,0.002961407,0.051357124,0.017637566,0.002364861,0.040353859,0.024870234,0.002093256,0.054545039,0.018100819,0.00151094,0.049638959,0.012582093,0.001665794,0.055205193,0.014162554,0.001407805,0.033347048,0.017069865,0.002778358,0.023298552,0.013969549,0.03004908,0.015268995,0.029010408,0.016728379,0.049933335,0.049619114,0.049935485
0.03421749,0.018488213,0.003909575,0.039700874,0.021572319,0.00414602,0.03285052,0.02405389,0.009123178,0.03580058,0.029554837,0.006634125,0.032911983,0.023403467,0.006108557,0.022531371,0.029597925,0.008017126,0.032292371,0.027205012,0.007274957,0.035415753,0.028434335,0.003149439,0.0282861,0.03232803,0.004248647,0.038055945,0.023653603,0.005709433,0.032565498,0.026819541,0.005135061,0.042622416,0.02384207,0.004270068,0.047000415,0.020505269,0.00355696,0.036158366,0.028843057,0.00319389,0.04998374,0.021813544,0.002424756,0.04571524,0.01547917,0.002702912,0.052627805,0.017997478,0.002025104,0.034149916,0.023614342,0.002299004,0.025520108,0.017503043,0.031294853,0.008097468,0.017766611,0.013046666,0.04989192,0.042359335,0.047257833
0.0345051,0.017751212,0.003883168,0.03852498,0.022403174,0.004168583,0.031772619,0.024545996,0.009770756,0.034104831,0.030617742,0.007339759,0.031325685,0.024631994,0.006955181,0.021966735,0.030826097,0.009155952,0.031108725,0.028549102,0.008482407,0.034278475,0.029813725,0.003717606,0.028218028,0.034059978,0.005106026,0.035473352,0.025045892,0.006987292,0.031530555,0.028631054,0.006419667,0.039411073,0.025804193,0.005483551,0.043569947,0.022551476,0.004703157,0.032943837,0.031593218,0.004260598,0.046215088,0.024537792,0.003365203,0.042232036,0.017648342,0.003846047,0.049014155,0.020851636,0.002948974,0.032385165,0.027392876,0.003278284,0.029116443,0.021840582,0.037244523,0.00742508,0.017164162,0.015195171,0.050103312,0.035667607,0.032378668
0.034710929,0.017186083,0.003867371,0.037580119,0.023080253,0.004164538,0.030959321,0.024897277,0.010266477,0.032843727,0.031368407,0.00789956,0.030124312,0.025492527,0.007634422,0.021477951,0.031644538,0.010071706,0.030090185,0.029438138,0.009465552,0.033215156,0.030794945,0.004196815,0.027761339,0.035250253,0.005832795,0.03344615,0.02600734,0.00808772,0.030263578,0.029882575,0.007542752,0.036906074,0.027195864,0.006570345,0.040850628,0.024035102,0.005755503,0.030460003,0.033537776,0.005243988,0.043175037,0.026555997,0.004265788,0.039367315,0.019264148,0.004963695,0.045876962,0.023002028,0.003887584,0.030377371,0.029998539,0.004318981,0.031247958,0.025139636,0.041001127,0.008553761,0.018599453,0.019518735,0.050369637,0.035449296,0.025190239
0.034862467,0.016739951,0.003858715,0.036806576,0.023639568,0.00414786,0.030324493,0.02515908,0.010655191,0.031871249,0.031922445,0.008352985,0.02918671,0.026121799,0.008188291,0.021060486,0.03221779,0.010820498,0.029230601,0.030057176,0.010277052,0.032287582,0.031520438,0.004603095,0.027199056,0.036104271,0.006450912,0.03183328,0.026693463,0.009032614,0.029064661,0.030775201,0.008517638,0.034916562,0.028208847,0.007530161,0.0386647,0.025133061,0.006701586,0.028505612,0.03494522,0.006130532,0.040709601,0.02807339,0.005100425,0.0370166,0.02047873,0.006011901,0.043248987,0.024635653,0.00478781,0.02853811,0.031885877,0.005314448,0.032313906,0.027739159,0.043155419,0.009673305,0.019885819,0.023068731,0.050656118,0.036176576,0.024033046
0.034976828,0.016379276,0.003854775,0.036162888,0.024107729,0.00412564,0.029815508,0.025360903,0.010966373,0.031099478,0.032345899,0.008726987,0.028436346,0.026598313,0.008647006,0.020704015,0.032635587,0.011442468,0.028505899,0.030506025,0.010956046,0.031493052,0.032074079,0.004950236,0.026637297,0.03673856,0.006980125,0.03052808,0.027197436,0.00984644,0.028004351,0.031429952,0.009364126,0.033307415,0.028964404,0.008374341,0.036880538,0.025962654,0.007544742,0.026938355,0.035987362,0.006922296,0.038687305,0.029233448,0.005861576,0.035072558,0.021403716,0.006974961,0.041049807,0.025888902,0.00562906,0.026940213,0.033279212,0.006239747,0.032738909,0.029824905,0.044343496,0.010649929,0.02085205,0.025933645,0.050949478,0.037038555,0.023817789
0.035064999,0.016081894,0.003853928,0.035619612,0.024504395,0.004101509,0.029398479,0.025520765,0.011219978,0.030472604,0.032678803,0.009040364,0.027823101,0.026969618,0.009032305,0.020398135,0.032950067,0.011966436,0.02789144,0.030842268,0.011531372,0.030813608,0.032507777,0.005249366,0.026113676,0.037223202,0.007436743,0.029454308,0.027576973,0.01055129,0.027085392,0.031922065,0.010101843,0.03198391,0.029540502,0.009117339,0.035402827,0.026601831,0.008294343,0.025659189,0.036775359,0.007627418,0.037007547,0.030135193,0.006550539,0.03344834,0.022118229,0.007850793,0.039197732,0.026861027,0.006404569,0.025572399,0.034322645,0.007088478,0.032796101,0.031520647,0.044954887,0.011491476,0.021540831,0.028275345,0.051240616,0.037913327,0.023764117
