#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
913,RU LUP,000-BBW-753,2459370.91688,9.401,0.013,False,Cousins I,CCD,MGW,1.275,False
914,RU LUP,000-BBW-753,2459371.533218,11.238,0.009,False,Johnson B,CCD,HMB,1.269,False
915,RU LUP,000-BBW-753,2459371.533495,11.211,0.009,False,Johnson B,CCD,HMB,1.268,False
916,RU LUP,000-BBW-753,2459371.533738,10.199,0.006,False,Cousins R,CCD,HMB,1.267,False
917,RU LUP,000-BBW-753,2459371.533900,10.194,0.006,False,Cousins R,CCD,HMB,1.266,False
918,RU LUP,000-BBW-753,2459371.534109,9.518,0.010,False,Cousins I,CCD,HMB,1.265,False
919,RU LUP,000-BBW-753,2459371.534259,9.527,0.010,False,Cousins I,CCD,HMB,1.264,False
920,RU LUP,000-BBW-753,2459371.534444,10.757,0.007,False,Johnson V,CCD,HMB,1.263,False
921,RU LUP,000-BBW-753,2459371.534606,10.732,0.007,False,Johnson V,CCD,HMB,1.263,False
922,RU LUP,000-BBW-753,2459371.87963,11.369,0.004,False,Johnson B,CCD,MGW,1.501,False
923,RU LUP,000-BBW-753,2459371.88072,10.862,0.005,False,Johnson V,CCD,MGW,1.488,False
924,RU LUP,000-BBW-753,2459371.88128,10.247,0.004,False,Cousins R,CCD,MGW,1.484,False
925,RU LUP,000-BBW-753,2459371.88128,10.244,0.004,False,Cousins R,CCD,MGW,1.484,False
926,RU LUP,000-BBW-753,2459371.88189,9.507,0.004,False,Cousins I,CCD,MGW,1.479,False
927,RU LUP,000-BBW-753,2459371.88189,9.510,0.004,False,Cousins I,CCD,MGW,1.479,False
928,RU LUP,000-BBW-753,2459372.533634,11.191,0.009,False,Johnson B,CCD,HMB,1.254,False
929,RU LUP,000-BBW-753,2459372.533912,11.202,0.008,False,Johnson B,CCD,HMB,1.253,False
930,RU LUP,000-BBW-753,2459372.534155,10.163,0.006,False,Cousins R,CCD,HMB,1.252,False
931,RU LUP,000-BBW-753,2459372.534306,10.160,0.006,False,Cousins R,CCD,HMB,1.251,False
932,RU LUP,000-BBW-753,2459372.534514,9.485,0.010,False,Cousins I,CCD,HMB,1.250,False
933,RU LUP,000-BBW-753,2459372.534676,9.484,0.010,False,Cousins I,CCD,HMB,1.250,False
934,RU LUP,000-BBW-753,2459372.534861,10.707,0.007,False,Johnson V,CCD,HMB,1.249,False
935,RU LUP,000-BBW-753,2459372.535012,10.728,0.007,False,Johnson V,CCD,HMB,1.248,False
936,RU LUP,000-BBW-753,2459373.534063,10.818,0.008,False,Johnson B,CCD,HMB,1.240,False
937,RU LUP,000-BBW-753,2459373.534329,10.820,0.008,False,Johnson B,CCD,HMB,1.239,False
938,RU LUP,000-BBW-753,2459373.534595,9.908,0.006,False,Cousins R,CCD,HMB,1.238,False
939,RU LUP,000-BBW-753,2459373.534745,9.919,0.006,False,Cousins R,CCD,HMB,1.237,False
940,RU LUP,000-BBW-753,2459373.534954,9.266,0.010,False,Cousins I,CCD,HMB,1.236,False
941,RU LUP,000-BBW-753,2459373.535116,9.252,0.010,False,Cousins I,CCD,HMB,1.236,False
942,RU LUP,000-BBW-753,2459373.535301,10.394,0.007,False,Johnson V,CCD,HMB,1.235,False
943,RU LUP,000-BBW-753,2459373.535463,10.431,0.007,False,Johnson V,CCD,HMB,1.234,False
944,RU Lup,000-BBW-753,2459374.51042,10.1,,False,Visual,Visual,RFP,,
945,RU LUP,000-BBW-753,2459374.533785,10.722,0.010,False,Johnson B,CCD,HMB,1.230,False
946,RU LUP,000-BBW-753,2459374.534051,10.721,0.010,False,Johnson B,CCD,HMB,1.229,False
947,RU LUP,000-BBW-753,2459374.534306,9.775,0.007,False,Cousins R,CCD,HMB,1.227,False
948,RU LUP,000-BBW-753,2459374.534456,9.809,0.007,False,Cousins R,CCD,HMB,1.227,False
949,RU LUP,000-BBW-753,2459374.534676,9.117,0.012,False,Cousins I,CCD,HMB,1.226,False
950,RU LUP,000-BBW-753,2459374.534838,9.136,0.011,False,Cousins I,CCD,HMB,1.225,False
951,RU LUP,000-BBW-753,2459374.535023,10.273,0.007,False,Johnson V,CCD,HMB,1.224,False
952,RU LUP,000-BBW-753,2459374.535185,10.220,0.008,False,Johnson V,CCD,HMB,1.224,False
953,Ru Lup,000-BBW-753,2459375.44792,10.1,,False,Visual,Visual,DCMA,,
954,RU Lup,000-BBW-753,2459375.50139,10.1,,False,Visual,Visual,RFP,,
955,RU LUP,000-BBW-753,2459375.533981,10.863,0.008,False,Johnson B,CCD,HMB,1.218,False
956,RU LUP,000-BBW-753,2459375.534248,10.853,0.008,False,Johnson B,CCD,HMB,1.216,False
957,RU LUP,000-BBW-753,2459375.534502,9.880,0.006,False,Cousins R,CCD,HMB,1.215,False
958,RU LUP,000-BBW-753,2459375.534653,9.897,0.006,False,Cousins R,CCD,HMB,1.215,False
959,RU LUP,000-BBW-753,2459375.534861,9.227,0.010,False,Cousins I,CCD,HMB,1.214,False
960,RU LUP,000-BBW-753,2459375.535023,9.216,0.010,False,Cousins I,CCD,HMB,1.213,False
961,RU LUP,000-BBW-753,2459375.535208,10.400,0.007,False,Johnson V,CCD,HMB,1.213,False
962,RU LUP,000-BBW-753,2459375.535370,10.403,0.007,False,Johnson V,CCD,HMB,1.212,False
963,RU LUP,000-BBW-753,2459376.533912,11.022,0.008,False,Johnson B,CCD,HMB,1.207,False
964,RU LUP,000-BBW-753,2459376.534190,11.001,0.008,False,Johnson B,CCD,HMB,1.206,False
965,RU LUP,000-BBW-753,2459376.534433,10.048,0.006,False,Cousins R,CCD,HMB,1.205,False
966,RU LUP,000-BBW-753,2459376.534595,10.054,0.006,False,Cousins R,CCD,HMB,1.204,False
967,RU LUP,000-BBW-753,2459376.534803,9.386,0.010,False,Cousins I,CCD,HMB,1.203,False
968,RU LUP,000-BBW-753,2459376.534954,9.380,0.010,False,Cousins I,CCD,HMB,1.203,False
969,RU LUP,000-BBW-753,2459376.535150,10.572,0.007,False,Johnson V,CCD,HMB,1.202,False
970,RU LUP,000-BBW-753,2459376.535313,10.596,0.007,False,Johnson V,CCD,HMB,1.202,False
971,RU Lup,000-BBW-753,2459376.56944,10.3,,False,Visual,Visual,RFP,,
972,RU LUP,000-BBW-753,2459377.534039,11.103,0.008,False,Johnson B,CCD,HMB,1.196,False
973,RU LUP,000-BBW-753,2459377.534317,11.127,0.008,False,Johnson B,CCD,HMB,1.195,False
974,RU LUP,000-BBW-753,2459377.534560,10.146,0.006,False,Cousins R,CCD,HMB,1.194,False
975,RU LUP,000-BBW-753,2459377.534711,10.129,0.006,False,Cousins R,CCD,HMB,1.194,False
976,RU LUP,000-BBW-753,2459377.534919,9.463,0.010,False,Cousins I,CCD,HMB,1.193,False
977,RU LUP,000-BBW-753,2459377.535081,9.444,0.010,False,Cousins I,CCD,HMB,1.192,False
978,RU LUP,000-BBW-753,2459377.535266,10.655,0.007,False,Johnson V,CCD,HMB,1.191,False
979,RU LUP,000-BBW-753,2459377.535428,10.669,0.007,False,Johnson V,CCD,HMB,1.191,False
980,Ru Lup,000-BBW-753,2459378.48889,10.1,,False,Visual,Visual,DCMA,,
981,RU LUP,000-BBW-753,2459378.534132,10.734,0.008,False,Johnson B,CCD,HMB,1.186,False
982,RU LUP,000-BBW-753,2459378.534398,10.732,0.008,False,Johnson B,CCD,HMB,1.185,False
983,RU LUP,000-BBW-753,2459378.534641,9.824,0.006,False,Cousins R,CCD,HMB,1.184,False
984,RU LUP,000-BBW-753,2459378.534803,9.822,0.006,False,Cousins R,CCD,HMB,1.183,False
985,RU LUP,000-BBW-753,2459378.535012,9.177,0.010,False,Cousins I,CCD,HMB,1.183,False
986,RU LUP,000-BBW-753,2459378.535162,9.206,0.010,False,Cousins I,CCD,HMB,1.182,False
987,RU LUP,000-BBW-753,2459378.535359,10.305,0.007,False,Johnson V,CCD,HMB,1.181,False
988,RU LUP,000-BBW-753,2459378.535509,10.296,0.007,False,Johnson V,CCD,HMB,1.181,False
989,RU LUP,000-BBW-753,2459378.94787,9.940,0.004,False,Johnson V,CCD,MGW,1.089,False
990,RU LUP,000-BBW-753,2459378.94845,9.566,0.003,False,Cousins R,CCD,MGW,1.088,False
991,RU LUP,000-BBW-753,2459378.94905,8.853,0.004,False,Cousins I,CCD,MGW,1.086,False
992,RU LUP,000-BBW-753,2459379.534178,10.902,0.008,False,Johnson B,CCD,HMB,1.176,False
993,RU LUP,000-BBW-753,2459379.534456,10.907,0.008,False,Johnson B,CCD,HMB,1.175,False
994,RU LUP,000-BBW-753,2459379.534699,9.964,0.006,False,Cousins R,CCD,HMB,1.174,False
995,RU LUP,000-BBW-753,2459379.534861,9.970,0.006,False,Cousins R,CCD,HMB,1.174,False
996,RU LUP,000-BBW-753,2459379.535069,9.302,0.010,False,Cousins I,CCD,HMB,1.173,False
997,RU LUP,000-BBW-753,2459379.535220,9.293,0.010,False,Cousins I,CCD,HMB,1.172,False
998,RU LUP,000-BBW-753,2459379.535417,10.460,0.007,False,Johnson V,CCD,HMB,1.172,False
999,RU LUP,000-BBW-753,2459379.535579,10.467,0.007,False,Johnson V,CCD,HMB,1.171,False
1000,RU LUP,000-BBW-753,2459379.88138,10.665,0.004,False,Johnson B,CCD,MGW,1.337,False
1001,RU LUP,000-BBW-753,2459379.88248,10.191,0.005,False,Johnson V,CCD,MGW,1.328,False
1002,RU LUP,000-BBW-753,2459379.88306,9.654,0.004,False,Cousins R,CCD,MGW,1.324,False
1003,RU LUP,000-BBW-753,2459379.88363,9.027,0.005,False,Cousins I,CCD,MGW,1.321,False
1004,RU LUP,000-BBW-753,2459380.534097,10.548,0.007,False,Johnson B,CCD,HMB,1.167,False
1005,RU LUP,000-BBW-753,2459380.534363,10.553,0.007,False,Johnson B,CCD,HMB,1.166,False
1006,RU LUP,000-BBW-753,2459380.534606,9.675,0.005,False,Cousins R,CCD,HMB,1.165,False
1007,RU LUP,000-BBW-753,2459380.534769,9.655,0.005,False,Cousins R,CCD,HMB,1.165,False
1008,RU LUP,000-BBW-753,2459380.534977,9.040,0.009,False,Cousins I,CCD,HMB,1.164,False
1009,RU LUP,000-BBW-753,2459380.535127,9.052,0.009,False,Cousins I,CCD,HMB,1.164,False
1010,RU LUP,000-BBW-753,2459380.535324,10.131,0.006,False,Johnson V,CCD,HMB,1.163,False
1011,RU LUP,000-BBW-753,2459380.535475,10.117,0.006,False,Johnson V,CCD,HMB,1.163,False
1012,RU Lup,000-BBW-753,2459380.66319,10.1,,False,Visual,Visual,PLA,,
1013,RU LUP,000-BBW-753,2459380.87807,10.456,0.004,False,Johnson B,CCD,MGW,1.341,False
1014,RU LUP,000-BBW-753,2459380.87917,9.981,0.005,False,Johnson V,CCD,MGW,1.331,False
1015,RU LUP,000-BBW-753,2459380.87973,9.469,0.004,False,Cousins R,CCD,MGW,1.328,False
1016,RU LUP,000-BBW-753,2459380.88032,8.865,0.005,False,Cousins I,CCD,MGW,1.324,False
1017,RU Lup,000-BBW-753,2459381.5625,10.2,,False,Visual,Visual,RFP,,
1018,RU Lup,000-BBW-753,2459382.52639,10.1,,False,Visual,Visual,RFP,,
1019,RU LUP,000-BBW-753,2459382.534676,10.634,0.007,False,Johnson B,CCD,HMB,1.148,False
1020,RU LUP,000-BBW-753,2459382.534942,10.631,0.007,False,Johnson B,CCD,HMB,1.147,False
1021,RU LUP,000-BBW-753,2459382.535197,9.729,0.005,False,Cousins R,CCD,HMB,1.147,False
1022,RU LUP,000-BBW-753,2459382.535347,9.731,0.005,False,Cousins R,CCD,HMB,1.146,False
1023,RU LUP,000-BBW-753,2459382.535567,9.102,0.010,False,Cousins I,CCD,HMB,1.146,False
1024,RU LUP,000-BBW-753,2459382.535718,9.083,0.009,False,Cousins I,CCD,HMB,1.145,False
1025,RU LUP,000-BBW-753,2459382.535914,10.186,0.006,False,Johnson V,CCD,HMB,1.144,False
1026,RU LUP,000-BBW-753,2459382.536076,10.186,0.006,False,Johnson V,CCD,HMB,1.144,False
1027,RU LUP,000-BBW-753,2459383.534780,10.865,0.008,False,Johnson B,CCD,HMB,1.140,False
1028,RU LUP,000-BBW-753,2459383.535058,10.870,0.008,False,Johnson B,CCD,HMB,1.139,False
1029,RU LUP,000-BBW-753,2459383.535301,9.894,0.005,False,Cousins R,CCD,HMB,1.138,False
1030,RU LUP,000-BBW-753,2459383.535463,9.866,0.006,False,Cousins R,CCD,HMB,1.138,False
1031,RU LUP,000-BBW-753,2459383.535671,9.253,0.010,False,Cousins I,CCD,HMB,1.137,False
1032,RU LUP,000-BBW-753,2459383.535822,9.240,0.009,False,Cousins I,CCD,HMB,1.137,False
1033,RU LUP,000-BBW-753,2459383.536007,10.364,0.007,False,Johnson V,CCD,HMB,1.136,False
1034,RU LUP,000-BBW-753,2459383.536169,10.397,0.007,False,Johnson V,CCD,HMB,1.136,False
1035,RU Lup ,000-BBW-753,2459384.49167,10.6,,False,Visual,Visual,RFP,,
1036,RU LUP,000-BBW-753,2459384.534711,10.960,0.008,False,Johnson B,CCD,HMB,1.132,False
1037,RU LUP,000-BBW-753,2459384.534988,10.983,0.009,False,Johnson B,CCD,HMB,1.132,False
1038,RU LUP,000-BBW-753,2459384.535243,9.986,0.006,False,Cousins R,CCD,HMB,1.131,False
1039,RU LUP,000-BBW-753,2459384.535405,9.995,0.006,False,Cousins R,CCD,HMB,1.131,False
1040,RU LUP,000-BBW-753,2459384.535613,9.337,0.011,False,Cousins I,CCD,HMB,1.130,False
1041,RU LUP,000-BBW-753,2459384.535764,9.353,0.010,False,Cousins I,CCD,HMB,1.130,False
1042,RU LUP,000-BBW-753,2459384.535961,10.507,0.007,False,Johnson V,CCD,HMB,1.129,False
1043,RU LUP,000-BBW-753,2459384.536111,10.506,0.007,False,Johnson V,CCD,HMB,1.129,False
1044,RU LUP,000-BBW-753,2459384.92870,10.452,0.005,False,Johnson B,CCD,MGW,1.097,False
1045,RU LUP,000-BBW-753,2459384.92980,9.963,0.005,False,Johnson V,CCD,MGW,1.093,False
1046,RU LUP,000-BBW-753,2459384.93037,9.485,0.003,False,Cousins R,CCD,MGW,1.092,False
1047,RU LUP,000-BBW-753,2459384.93098,8.885,0.004,False,Cousins I,CCD,MGW,1.090,False
1048,RU LUP,000-BBW-753,2459385.535058,10.366,0.008,False,Johnson B,CCD,HMB,1.124,False
1049,RU LUP,000-BBW-753,2459385.535336,10.344,0.009,False,Johnson B,CCD,HMB,1.124,False
1050,RU LUP,000-BBW-753,2459385.535590,9.483,0.006,False,Cousins R,CCD,HMB,1.123,False
1051,RU LUP,000-BBW-753,2459385.535752,9.475,0.006,False,Cousins R,CCD,HMB,1.123,False
1052,RU LUP,000-BBW-753,2459385.535961,8.904,0.013,False,Cousins I,CCD,HMB,1.122,False
1053,RU LUP,000-BBW-753,2459385.536111,8.883,0.013,False,Cousins I,CCD,HMB,1.122,False
1054,RU LUP,000-BBW-753,2459385.536308,9.923,0.008,False,Johnson V,CCD,HMB,1.121,False
1055,RU LUP,000-BBW-753,2459385.536458,9.922,0.008,False,Johnson V,CCD,HMB,1.121,False
1056,RU LUP,000-BBW-753,2459385.90830,10.201,0.005,False,Johnson V,CCD,MGW,1.145,False
1057,RU LUP,000-BBW-753,2459385.90888,9.660,0.003,False,Cousins R,CCD,MGW,1.143,False
1058,RU LUP,000-BBW-753,2459385.90948,8.979,0.004,False,Cousins I,CCD,MGW,1.141,False
