Host CoM,Host HalfM* radius,Host ID,Host KappaCorot,Host M*,Host M* Iron,Host M* Metal,Host Mgas,Host Mhyd,Host Mtot,Host R200,Host i,Host vel,Sat CoM,Sat HalfM* radius,Sat ID,Sat M*,Sat M* Iron,Sat M* Metal,Sat Mgas,Sat Mhyd,Sat Mtot,Sat i,Sat vel,Volume
"[308.09063720703125, 391.20574951171875, 262.1900329589844]",0.0,13917,0.0,0.0,0.0,0.0,0.0,0.0,9378737.0,4.024906127525398,13916,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[307.40826416015625, 389.0060119628906, 263.3814392089844]",0.0,13918,0.0,0.0,0.0,0.0,0.0,0.0,9681278.0,4.134789711523411,13917,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[301.2278137207031, 380.254150390625, 259.7135314941406]",0.0,13919,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.592626148688282,13918,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[301.63232421875, 389.7631530761719, 260.9181213378906]",0.0,13920,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.1862102738303575,13919,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[305.1493835449219, 385.0540771484375, 255.80813598632812]",0.0,13921,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.962915861497201,13920,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.79351806640625, 393.39520263671875, 260.75946044921875]",0.0,13922,0.0,0.0,0.0,0.0,0.0,0.0,9681278.0,3.6537013906400757,13921,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[0.0, 0.0, 0.0]",0.0,13923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370289673653799,13922,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[308.7694396972656, 388.3784484863281, 260.3999938964844]",0.0,13924,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.499472554818444,13923,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[298.4862365722656, 385.6781921386719, 253.2686004638672]",0.0,13925,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,2.9194451398514683,13924,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[305.5378112792969, 392.15863037109375, 260.3459777832031]",0.0,13926,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.26591977145356,13925,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[306.3622741699219, 388.8414611816406, 263.9176330566406]",0.0,13927,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.481550103766224,13926,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.27911376953125, 391.0492858886719, 255.2244110107422]",0.0,13928,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.437661461584973,13927,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[304.1164855957031, 380.84326171875, 258.31298828125]",0.0,13929,0.0,0.0,0.0,0.0,0.0,0.0,9681278.0,4.171715991635608,13928,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[300.6280822753906, 389.9461975097656, 257.7491760253906]",0.0,13930,0.0,0.0,0.0,0.0,0.0,0.0,9378737.0,4.196403720743298,13929,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[305.9610595703125, 383.5020751953125, 257.92767333984375]",0.0,13931,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.301797339666792,13930,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[302.3770446777344, 392.2306823730469, 258.6805114746094]",0.0,13932,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.024876937394273,13931,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[302.2388916015625, 393.8450927734375, 259.5144348144531]",0.0,13933,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.448550909444039,13932,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[298.615478515625, 386.4423828125, 264.50830078125]",0.0,13934,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.758042131673454,13933,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[306.4208679199219, 388.1679382324219, 258.9995422363281]",0.0,13935,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.7643094704938687,13934,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[298.1629333496094, 388.6039123535156, 251.55038452148438]",0.0,13936,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.38729490288604,13935,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[300.0298156738281, 390.6235046386719, 263.89508056640625]",0.0,13937,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.270731207568929,13936,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[301.846435546875, 383.73529052734375, 250.77883911132812]",0.0,13938,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.351489999090523,13937,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[308.8573913574219, 388.50384521484375, 263.1308898925781]",0.0,13939,0.0,0.0,0.0,0.0,0.0,0.0,3933018.75,1.935726442641638,13938,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[304.3717041015625, 391.94281005859375, 256.84619140625]",0.0,13940,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.422909332035593,13939,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[298.2640380859375, 385.0921936035156, 262.9700012207031]",0.0,13941,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.281495311008516,13940,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.2059020996094, 387.1689147949219, 253.02777099609375]",0.0,13942,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.120991646785364,13941,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[305.98016357421875, 392.5792541503906, 261.37811279296875]",0.0,13943,0.0,0.0,0.0,0.0,0.0,0.0,9681278.0,4.367785475464693,13942,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[304.9752197265625, 390.0765380859375, 260.9917297363281]",0.0,13944,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.943097242484671,13943,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
