1,22.554,61.397,182.388
2,285.056,380.053,5.246
3,170.254,49.515,378.008
4,252.884,61.142,226.887
5,303.710,387.559,259.295
6,247.260,223.085,118.065
7,360.984,370.986,104.061
8,113.541,105.269,295.703
9,202.167,22.568,326.103
10,327.347,244.685,199.035
11,206.470,289.345,337.098
12,164.727,370.529,389.946
13,60.793,270.998,111.084
14,191.408,185.739,41.606
15,382.208,57.656,160.808
16,211.498,78.734.381,.12
17,77.794,100.334,185.028
18,236.746,148.260,82.034
19,124.015,262.135,382.086
20,356.896,181.048,185.781
21,134.931,23.480,373.677
22,96.567,46.163,314.870
23,101.094,182.843,370.797
24,211.361,265.825,313.522
25,51.271,95.723,98.979
