eff_tau_01,eff_tau_02,eff_tau_14,eff_tau_17
1.53E-07,8.74E-07,1.99E-06,7.88E-07
1.55E-07,8.83E-07,2.04E-06,8.08E-07
1.56E-07,8.91E-07,2.07E-06,8.26E-07
1.57E-07,8.98E-07,2.11E-06,8.43E-07
1.58E-07,9.03E-07,2.14E-06,8.58E-07
1.58E-07,9.07E-07,2.16E-06,8.73E-07
3.90E-10,1.95E-09,8.60E-10,1.78E-10
9.74E-10,4.96E-09,2.64E-09,5.89E-10
2.06E-09,1.06E-08,6.66E-09,1.58E-09
3.85E-09,2.00E-08,1.44E-08,3.60E-09
6.51E-09,3.42E-08,2.76E-08,7.22E-09
1.02E-08,5.38E-08,4.80E-08,1.31E-08
1.49E-08,7.95E-08,7.74E-08,2.18E-08
2.07E-08,1.11E-07,1.17E-07,3.41E-08
2.76E-08,1.49E-07,1.68E-07,5.03E-08
3.55E-08,1.93E-07,2.31E-07,7.08E-08
4.43E-08,2.41E-07,3.06E-07,9.59E-08
5.38E-08,2.94E-07,3.93E-07,1.25E-07
6.39E-08,3.51E-07,4.90E-07,1.59E-07
7.45E-08,4.10E-07,5.97E-07,1.97E-07
8.54E-08,4.71E-07,7.13E-07,2.39E-07
9.64E-08,5.34E-07,8.37E-07,2.85E-07
1.07E-07,5.96E-07,9.66E-07,3.33E-07
1.18E-07,6.59E-07,1.10E-06,3.84E-07
1.29E-07,7.20E-07,1.24E-06,4.36E-07
1.40E-07,7.81E-07,1.38E-06,4.90E-07
1.50E-07,8.39E-07,1.51E-06,5.45E-07
1.60E-07,8.95E-07,1.65E-06,6.00E-07
1.69E-07,9.49E-07,1.79E-06,6.56E-07
1.78E-07,1.00E-06,1.92E-06,7.10E-07
1.86E-07,1.05E-06,2.06E-06,7.65E-07
1.94E-07,1.09E-06,2.18E-06,8.18E-07
2.01E-07,1.14E-06,2.31E-06,8.69E-07
2.08E-07,1.18E-06,2.42E-06,9.20E-07
2.14E-07,1.21E-06,2.54E-06,9.68E-07
2.20E-07,1.24E-06,2.64E-06,1.01E-06
2.25E-07,1.28E-06,2.74E-06,1.06E-06
2.29E-07,1.30E-06,2.84E-06,1.10E-06
2.33E-07,1.33E-06,2.93E-06,1.14E-06
2.37E-07,1.35E-06,3.01E-06,1.18E-06
2.40E-07,1.37E-06,3.09E-06,1.22E-06
2.43E-07,1.39E-06,3.16E-06,1.25E-06
2.45E-07,1.40E-06,3.23E-06,1.28E-06
2.47E-07,1.41E-06,3.29E-06,1.31E-06
2.49E-07,1.42E-06,3.34E-06,1.34E-06
2.50E-07,1.43E-06,3.39E-06,1.36E-06
2.51E-07,1.44E-06,3.43E-06,1.38E-06
6.18E-10,3.10E-09,1.36E-09,2.81E-10
1.54E-09,7.85E-09,4.19E-09,9.34E-10
3.27E-09,1.68E-08,1.06E-08,2.50E-09
6.10E-09,3.18E-08,2.28E-08,5.70E-09
1.03E-08,5.42E-08,4.37E-08,1.14E-08
1.61E-08,8.53E-08,7.61E-08,2.07E-08
2.36E-08,1.26E-07,1.23E-07,3.46E-08
3.29E-08,1.76E-07,1.86E-07,5.40E-08
4.38E-08,2.36E-07,2.67E-07,7.97E-08
5.63E-08,3.05E-07,3.66E-07,1.12E-07
