eff_tau_01,eff_tau_02,eff_tau_14,eff_tau_17
6.41E-07,3.40E-06,3.03E-06,8.26E-07
9.40E-07,5.02E-06,4.88E-06,1.38E-06
1.31E-06,7.02E-06,7.39E-06,2.15E-06
1.74E-06,9.41E-06,1.06E-05,3.17E-06
2.24E-06,1.22E-05,1.46E-05,4.47E-06
2.80E-06,1.52E-05,1.93E-05,6.05E-06
3.40E-06,1.86E-05,2.48E-05,7.91E-06
4.03E-06,2.21E-05,3.09E-05,1.01E-05
4.70E-06,2.59E-05,3.77E-05,1.25E-05
5.39E-06,2.97E-05,4.50E-05,1.51E-05
6.08E-06,3.37E-05,5.28E-05,1.80E-05
6.78E-06,3.76E-05,6.09E-05,2.10E-05
7.47E-06,4.16E-05,6.94E-05,2.42E-05
8.15E-06,4.54E-05,7.80E-05,2.75E-05
8.82E-06,4.92E-05,8.68E-05,3.09E-05
9.46E-06,5.29E-05,9.56E-05,3.44E-05
1.01E-05,5.65E-05,0.000104307,3.79E-05
1.07E-05,5.99E-05,0.000112955,4.14E-05
1.12E-05,6.31E-05,0.000121446,4.48E-05
1.17E-05,6.61E-05,0.000129729,4.82E-05
1.22E-05,6.90E-05,0.000137763,5.16E-05
1.27E-05,7.17E-05,0.000145511,5.49E-05
1.31E-05,7.42E-05,0.000152946,5.80E-05
1.35E-05,7.65E-05,0.000160044,6.11E-05
1.39E-05,7.86E-05,0.000166789,6.40E-05
1.42E-05,8.05E-05,0.000173167,6.68E-05
1.45E-05,8.22E-05,0.00017917,6.95E-05
1.47E-05,8.38E-05,0.000184794,7.20E-05
1.50E-05,8.51E-05,0.000190037,7.44E-05
1.52E-05,8.64E-05,0.000194902,7.67E-05
1.53E-05,8.74E-05,0.000199393,7.88E-05
1.55E-05,8.83E-05,0.000203515,8.08E-05
1.56E-05,8.91E-05,0.000207277,8.26E-05
1.57E-05,8.98E-05,0.000210688,8.43E-05
1.58E-05,9.03E-05,0.000213758,8.58E-05
1.58E-05,9.07E-05,0.0002165,8.73E-05
3.90E-08,1.95E-07,8.60E-08,1.78E-08
9.74E-08,4.96E-07,2.64E-07,5.89E-08
2.06E-07,1.06E-06,6.66E-07,1.58E-07
3.85E-07,2.00E-06,1.44E-06,3.60E-07
6.51E-07,3.42E-06,2.76E-06,7.22E-07
1.02E-06,5.38E-06,4.80E-06,1.31E-06
1.49E-06,7.95E-06,7.74E-06,2.18E-06
2.07E-06,1.11E-05,1.17E-05,3.41E-06
2.76E-06,1.49E-05,1.68E-05,5.03E-06
3.55E-06,1.93E-05,2.31E-05,7.08E-06
4.43E-06,2.41E-05,3.06E-05,9.59E-06
5.38E-06,2.94E-05,3.93E-05,1.25E-05
6.39E-06,3.51E-05,4.90E-05,1.59E-05
7.45E-06,4.10E-05,5.97E-05,1.97E-05
8.54E-06,4.71E-05,7.13E-05,2.39E-05
9.64E-06,5.34E-05,8.37E-05,2.85E-05
1.07E-05,5.96E-05,9.66E-05,3.33E-05
1.18E-05,6.59E-05,0.000109961,3.84E-05
1.29E-05,7.20E-05,0.000123652,4.36E-05
1.40E-05,7.81E-05,0.000137522,4.90E-05
1.50E-05,8.39E-05,0.000151448,5.45E-05
1.60E-05,8.95E-05,0.000165315,6.00E-05
1.69E-05,9.49E-05,0.000179022,6.56E-05
1.78E-05,0.000100006,0.000192479,7.10E-05
1.86E-05,0.000104836,0.000205607,7.65E-05
1.94E-05,0.000109372,0.000218339,8.18E-05
2.01E-05,0.000113608,0.00023062,8.69E-05
2.08E-05,0.00011754,0.000242403,9.20E-05
2.14E-05,0.000121169,0.000253653,9.68E-05
2.20E-05,0.000124498,0.000264342,0.000101469
2.25E-05,0.000127531,0.000274451,0.000105925
2.29E-05,0.000130278,0.000283965,0.000110168
2.33E-05,0.000132744,0.000292878,0.000114191
2.37E-05,0.000134942,0.000301189,0.000117991
2.40E-05,0.00013688,0.000308899,0.000121564
2.43E-05,0.00013857,0.000316016,0.000124909
2.45E-05,0.000140024,0.000322549,0.000128028
2.47E-05,0.000141253,0.000328512,0.000130923
2.49E-05,0.000142268,0.000333918,0.000133597
2.50E-05,0.000143083,0.000338784,0.000136053
2.51E-05,0.000143707,0.000343129,0.000138299
6.18E-08,3.10E-07,1.36E-07,2.81E-08
1.54E-07,7.85E-07,4.19E-07,9.34E-08
3.27E-07,1.68E-06,1.06E-06,2.50E-07
6.10E-07,3.18E-06,2.28E-06,5.70E-07
1.03E-06,5.42E-06,4.37E-06,1.14E-06
1.61E-06,8.53E-06,7.61E-06,2.07E-06
2.36E-06,1.26E-05,1.23E-05,3.46E-06
3.29E-06,1.76E-05,1.86E-05,5.40E-06
4.38E-06,2.36E-05,2.67E-05,7.97E-06
5.63E-06,3.05E-05,3.66E-05,1.12E-05
7.02E-06,3.82E-05,4.85E-05,1.52E-05
8.53E-06,4.66E-05,6.22E-05,1.99E-05
1.01E-05,5.56E-05,7.77E-05,2.53E-05
1.18E-05,6.50E-05,9.47E-05,3.13E-05
1.35E-05,7.47E-05,0.000113041,3.79E-05
1.53E-05,8.46E-05,0.000132587,4.51E-05
1.70E-05,9.45E-05,0.000153074,5.28E-05
1.88E-05,0.000104402,0.000174277,6.08E-05
2.05E-05,0.000114161,0.000195975,6.91E-05
2.21E-05,0.000123702,0.000217958,7.77E-05
2.38E-05,0.000132957,0.000240028,8.64E-05
2.53E-05,0.00014187,0.000262007,9.51E-05
2.68E-05,0.000150395,0.000283731,0.000103892
2.82E-05,0.000158499,0.000305059,0.00011259
2.95E-05,0.000166154,0.000325865,0.000121172
3.07E-05,0.000173343,0.000346044,0.000129586
3.19E-05,0.000180056,0.000365508,0.000137792
3.29E-05,0.000186288,0.000384183,0.000145752
3.39E-05,0.00019204,0.000402013,0.000153436
3.48E-05,0.000197315,0.000418955,0.000160818
3.56E-05,0.000202124,0.000434975,0.000167879
3.63E-05,0.000206476,0.000450054,0.000174604
3.70E-05,0.000210386,0.00046418,0.000180981
3.76E-05,0.000213868,0.000477352,0.000187003
3.81E-05,0.00021694,0.000489572,0.000192666
3.85E-05,0.000219619,0.000500851,0.000197968
3.89E-05,0.000221923,0.000511206,0.000202911
3.92E-05,0.00022387,0.000520656,0.000207499
3.95E-05,0.00022548,0.000529224,0.000211736
3.97E-05,0.000226771,0.000536937,0.00021563
3.98E-05,0.00022776,0.000543823,0.000219189
9.79E-08,4.91E-07,2.16E-07,4.46E-08
2.45E-07,1.24E-06,6.64E-07,1.48E-07
5.18E-07,2.67E-06,1.67E-06,3.97E-07
9.67E-07,5.03E-06,3.61E-06,9.04E-07
1.63E-06,8.59E-06,6.92E-06,1.81E-06
2.55E-06,1.35E-05,1.21E-05,3.29E-06
3.74E-06,2.00E-05,1.94E-05,5.49E-06
5.21E-06,2.80E-05,2.94E-05,8.56E-06
6.94E-06,3.75E-05,4.23E-05,1.26E-05
8.93E-06,4.84E-05,5.81E-05,1.78E-05
1.11E-05,6.06E-05,7.69E-05,2.41E-05
1.35E-05,7.39E-05,9.86E-05,3.15E-05
1.61E-05,8.81E-05,0.000123079,4.00E-05
1.87E-05,0.000103002,0.000150027,4.96E-05
2.14E-05,0.000118375,0.000179158,6.01E-05
2.42E-05,0.00013403,0.000210136,7.15E-05
2.70E-05,0.000149783,0.000242605,8.36E-05
2.97E-05,0.000165467,0.00027621,9.64E-05
3.25E-05,0.000180933,0.000310599,0.000109567
3.51E-05,0.000196054,0.00034544,0.000123116
3.76E-05,0.000210723,0.000380419,0.00013689
4.01E-05,0.000224849,0.000415253,0.000150773
4.24E-05,0.000238361,0.000449684,0.000164657
4.47E-05,0.000251204,0.000483485,0.000178444
4.67E-05,0.000263336,0.000516461,0.000192044
4.87E-05,0.000274731,0.000548443,0.000205381
5.05E-05,0.00028537,0.000579291,0.000218386
5.22E-05,0.000295247,0.000608889,0.000231001
5.38E-05,0.000304362,0.000637148,0.000243179
5.52E-05,0.000312724,0.000663998,0.00025488
5.64E-05,0.000320345,0.000689389,0.000266071
5.76E-05,0.000327242,0.000713287,0.000276729
5.86E-05,0.000333439,0.000735676,0.000286836
5.96E-05,0.000338958,0.000756551,0.00029638
6.04E-05,0.000343827,0.000775919,0.000305355
6.11E-05,0.000348073,0.000793796,0.000313758
6.16E-05,0.000351724,0.000810207,0.000321593
6.21E-05,0.000354811,0.000825184,0.000328864
6.25E-05,0.000357362,0.000838764,0.000335579
6.28E-05,0.000359407,0.000850988,0.000341751
6.31E-05,0.000360976,0.000861902,0.00034739
1.55E-07,7.78E-07,3.42E-07,7.07E-08
3.88E-07,1.97E-06,1.05E-06,2.34E-07
8.21E-07,4.23E-06,2.65E-06,6.29E-07
1.53E-06,7.98E-06,5.73E-06,1.43E-06
2.59E-06,1.36E-05,1.10E-05,2.87E-06
4.05E-06,2.14E-05,1.91E-05,5.21E-06
5.93E-06,3.16E-05,3.08E-05,8.70E-06
8.26E-06,4.43E-05,4.66E-05,1.36E-05
1.10E-05,5.94E-05,6.70E-05,2.00E-05
1.41E-05,7.67E-05,9.20E-05,2.82E-05
1.76E-05,9.60E-05,0.000121859,3.82E-05
2.14E-05,0.000117136,0.000156296,4.99E-05
2.55E-05,0.000139646,0.000195067,6.34E-05
2.97E-05,0.000163247,0.000237777,7.86E-05
3.40E-05,0.000187611,0.000283947,9.53E-05
3.84E-05,0.000212423,0.000333043,0.000113361
4.28E-05,0.00023739,0.000384503,0.000132566
4.71E-05,0.000262247,0.000437763,0.000152731
5.14E-05,0.00028676,0.000492267,0.000173652
5.56E-05,0.000310725,0.000547485,0.000195125
5.97E-05,0.000333973,0.000602924,0.000216956
6.36E-05,0.000356361,0.000658131,0.00023896
6.73E-05,0.000377776,0.000712701,0.000260964
7.08E-05,0.000398131,0.000766273,0.000282814
7.41E-05,0.00041736,0.000818536,0.000304369
7.72E-05,0.000435419,0.000869224,0.000325506
8.01E-05,0.000452281,0.000918114,0.000346118
8.27E-05,0.000467935,0.000965025,0.000366112
8.52E-05,0.000482382,0.001009812,0.000385413
8.74E-05,0.000495634,0.001052366,0.000403957
8.95E-05,0.000507712,0.001092608,0.000421694
9.13E-05,0.000518644,0.001130484,0.000438586
9.29E-05,0.000528465,0.001165969,0.000454604
9.44E-05,0.000537213,0.001199053,0.00046973
9.57E-05,0.000544929,0.001229749,0.000483954
9.68E-05,0.000551658,0.001258082,0.000497273
9.77E-05,0.000557445,0.001284092,0.00050969
9.85E-05,0.000562337,0.001307829,0.000521214
9.91E-05,0.00056638,0.001329351,0.000531857
9.96E-05,0.000569622,0.001348725,0.000541638
1.00E-04,0.000572108,0.001366022,0.000550577
2.46E-07,1.23E-06,5.43E-07,1.12E-07
6.15E-07,3.13E-06,1.67E-06,3.72E-07
1.30E-06,6.71E-06,4.20E-06,9.97E-07
2.43E-06,1.26E-05,9.07E-06,2.27E-06
4.11E-06,2.16E-05,1.74E-05,4.56E-06
6.41E-06,3.40E-05,3.03E-05,8.26E-06
9.40E-06,5.02E-05,4.88E-05,1.38E-05
1.31E-05,7.02E-05,7.39E-05,2.15E-05
1.74E-05,9.41E-05,0.000106148,3.17E-05
2.24E-05,0.000121563,0.000145872,4.47E-05
2.80E-05,0.000152227,0.000193134,6.05E-05
3.40E-05,0.000185648,0.000247712,7.91E-05
4.03E-05,0.000221324,0.000309161,0.000100557
4.70E-05,0.00025873,0.000376852,0.000124609
5.39E-05,0.000297344,0.000450025,0.000151067
6.08E-05,0.000336668,0.000527837,0.000179664
6.78E-05,0.000376238,0.000609397,0.000210102
7.47E-05,0.000415633,0.000693808,0.000242062
8.15E-05,0.000454483,0.00078019,0.00027522
8.82E-05,0.000492466,0.000867705,0.000309253
9.46E-05,0.000529311,0.00095557,0.000343853
0.000100731,0.000564794,0.001043067,0.000378725
0.000106606,0.000598735,0.001129554,0.0004136
0.000112174,0.000630995,0.001214461,0.00044823
0.000117418,0.000661471,0.001297292,0.000482393
0.000122328,0.000690092,0.001377627,0.000515893
0.000126898,0.000716817,0.001455113,0.00054856
0.000131127,0.000741627,0.001529461,0.000580249
0.000135015,0.000764524,0.001600444,0.000610839
0.000138569,0.000785527,0.001667888,0.000640229
0.000141794,0.000804669,0.001731666,0.00066834
0.0001447,0.000821996,0.001791697,0.000695111
0.000147297,0.000837561,0.001847936,0.000720499
0.000149596,0.000851425,0.001900371,0.000744472
0.00015161,0.000863654,0.00194902,0.000767016
0.000153352,0.000874319,0.001993925,0.000788125
0.000154834,0.000883491,0.002035148,0.000807804
0.000156069,0.000891244,0.002072769,0.000826068
0.000157072,0.000897653,0.002106879,0.000842937
0.000157854,0.00090279,0.002137585,0.000858439
0.00015843,0.000906731,0.002164999,0.000872605
3.90E-07,1.95E-06,8.60E-07,1.78E-07
9.74E-07,4.96E-06,2.64E-06,5.89E-07
2.06E-06,1.06E-05,6.66E-06,1.58E-06
3.85E-06,2.00E-05,1.44E-05,3.60E-06
6.51E-06,3.42E-05,2.76E-05,7.22E-06
1.02E-05,5.38E-05,4.80E-05,1.31E-05
1.49E-05,7.95E-05,7.74E-05,2.18E-05
2.07E-05,0.000111299,0.000117148,3.41E-05
2.76E-05,0.000149151,0.000168234,5.03E-05
3.55E-05,0.000192664,0.000231192,7.08E-05
4.43E-05,0.000241263,0.000306096,9.59E-05
5.38E-05,0.000294233,0.000392598,0.000125414
6.39E-05,0.000350775,0.000489987,0.000159372
7.45E-05,0.000410059,0.00059727,0.000197491
8.54E-05,0.000471258,0.000713242,0.000239425
9.64E-05,0.000533583,0.000836565,0.000284749
0.000107448,0.000596296,0.000965829,0.00033299
0.000118419,0.000658734,0.001099611,0.000383643
0.000129204,0.000720307,0.001236518,0.000436194
0.000139717,0.000780507,0.00137522,0.000490133
0.000149885,0.000838902,0.001514476,0.00054497
0.000159648,0.000895138,0.001653151,0.000600239
0.000168959,0.000948931,0.001790223,0.000655512
0.000177783,0.001000059,0.00192479,0.000710397
0.000186095,0.00104836,0.002056069,0.000764541
0.000193877,0.001093723,0.002183391,0.000817635
0.00020112,0.001136079,0.002306198,0.000869409
0.000207822,0.0011754,0.002424033,0.000919633
0.000213985,0.001211689,0.002536533,0.000968114
0.000219617,0.001244976,0.002643424,0.001014694
0.000224729,0.001275315,0.002744506,0.001059247
0.000229334,0.001302776,0.002839648,0.001101677
0.00023345,0.001327444,0.002928781,0.001141913
0.000237094,0.001349417,0.003011885,0.001179909
0.000240286,0.0013688,0.003088989,0.001215638
0.000243046,0.001385702,0.003160159,0.001249094
0.000245395,0.001400238,0.003225493,0.001280284
0.000247353,0.001412526,0.003285117,0.00130923
0.000248942,0.001422683,0.003339178,0.001335965
0.000250182,0.001430826,0.003387844,0.001360534
0.000251094,0.001437071,0.003431292,0.001382986
6.18E-07,3.10E-06,1.36E-06,2.81E-07
1.54E-06,7.85E-06,4.19E-06,9.34E-07
3.27E-06,1.68E-05,1.06E-05,2.50E-06
6.10E-06,3.18E-05,2.28E-05,5.70E-06
1.03E-05,5.42E-05,4.37E-05,1.14E-05
1.61E-05,8.53E-05,7.61E-05,2.07E-05
2.36E-05,0.00012598,0.000122671,3.46E-05
3.29E-05,0.000176397,0.000185666,5.40E-05
4.38E-05,0.000236388,0.000266633,7.97E-05
5.63E-05,0.000305352,0.000366415,0.000112264
7.02E-05,0.000382377,0.00048513,0.00015193
8.53E-05,0.000466328,0.000622225,0.000198768
0.000101343,0.000555941,0.000776577,0.000252588
0.000118084,0.0006499,0.000946609,0.000313003
0.000135301,0.000746894,0.001130413,0.000379462
0.000152772,0.000845672,0.001325866,0.000451297
0.000170294,0.000945066,0.001530736,0.000527753
0.000187681,0.001044023,0.001742766,0.000608033
0.000204775,0.00114161,0.001959749,0.000691321
0.000221437,0.00123702,0.002179576,0.000776809
0.000237551,0.00132957,0.002400282,0.000863718
0.000253024,0.001418699,0.002620067,0.000951315
0.000267782,0.001503954,0.002837312,0.001038917
0.000281767,0.001584987,0.003050587,0.001125903
0.00029494,0.001661539,0.00325865,0.001211716
0.000307274,0.001733434,0.003460442,0.001295864
0.000318753,0.001800564,0.003655077,0.00137792
0.000329375,0.001862883,0.003841833,0.00145752
0.000339143,0.001920397,0.004020135,0.001534357
0.000348069,0.001973154,0.004189545,0.001608182
0.000356171,0.002021237,0.004349749,0.001678794
0.00036347,0.00206476,0.004500539,0.001746041
0.000369994,0.002103858,0.004641805,0.001809811
0.000375769,0.002138682,0.004773516,0.00187003
0.000380828,0.002169401,0.004895718,0.001926657
0.000385202,0.002196189,0.005008514,0.00197968
0.000388924,0.002219228,0.005112062,0.002029113
0.000392028,0.002238703,0.005206559,0.002074989
0.000394546,0.002254801,0.005292241,0.002117363
0.000396512,0.002267707,0.00536937,0.002156301
0.000397957,0.002277604,0.005438232,0.002191886
9.79E-07,4.91E-06,2.16E-06,4.46E-07
2.45E-06,1.24E-05,6.64E-06,1.48E-06
5.18E-06,2.67E-05,1.67E-05,3.97E-06
9.67E-06,5.03E-05,3.61E-05,9.04E-06
1.63E-05,8.59E-05,6.92E-05,1.81E-05
2.55E-05,0.000135247,0.000120575,3.29E-05
3.74E-05,0.000199665,0.000194421,5.49E-05
5.21E-05,0.00027957,0.000294262,8.56E-05
6.94E-05,0.000374649,0.000422584,0.000126359
8.93E-05,0.000483951,0.000580728,0.000177926
0.000111308,0.000606026,0.000768879,0.000240793
0.000135212,0.000739079,0.00098616,0.000315026
0.000160618,0.000881107,0.001230792,0.000400325
0.00018715,0.001030021,0.001500274,0.000496076
0.000214438,0.001183748,0.001791584,0.000601407
0.000242128,0.001340299,0.002101356,0.000715257
0.000269897,0.001497829,0.002426053,0.000836433
0.000297455,0.001654665,0.002762098,0.000963668
0.000324547,0.00180933,0.003105992,0.001095669
0.000350954,0.001960544,0.003454396,0.001231159
0.000376493,0.002107227,0.003804191,0.001368902
0.000401017,0.002248486,0.004152526,0.001507733
0.000424406,0.002383607,0.004496836,0.001646572
0.000446571,0.002512035,0.004834855,0.001784436
0.000467449,0.002633362,0.005164613,0.00192044
0.000486996,0.002747307,0.005484431,0.002053806
0.00050519,0.002853701,0.005792907,0.002183856
0.000522024,0.002952471,0.006088895,0.002310013
0.000537505,0.003043624,0.006371484,0.002431792
0.000551652,0.003127238,0.006639982,0.002548796
0.000564493,0.003203446,0.006893888,0.002660709
0.000576062,0.003272424,0.007132874,0.002767288
0.000586401,0.003334389,0.007356764,0.002868356
0.000595554,0.003389583,0.007565513,0.002963797
0.000603572,0.003438269,0.00775919,0.003053545
0.000610504,0.003480725,0.00793796,0.003137582
0.000616404,0.003517239,0.008102072,0.003215927
0.000621322,0.003548106,0.00825184,0.003288637
0.000625313,0.003573619,0.008387637,0.003355793
0.000628429,0.003594074,0.008509878,0.003417506
0.00063072,0.00360976,0.008619016,0.003473904
1.55E-06,7.78E-06,3.42E-06,7.07E-07
3.88E-06,1.97E-05,1.05E-05,2.34E-06
8.21E-06,4.23E-05,2.65E-05,6.29E-06
1.53E-05,7.98E-05,5.73E-05,1.43E-05
2.59E-05,0.000136111,0.000109709,2.87E-05
4.05E-05,0.000214352,0.000191099,5.21E-05
5.93E-05,0.000316448,0.000308136,8.70E-05
8.26E-05,0.000443089,0.000466373,0.000135708
0.000110067,0.000593779,0.000669751,0.000200265
0.000141491,0.00076701,0.000920393,0.000281994
0.000176411,0.000960487,0.001218591,0.000381631
0.000214296,0.001171362,0.001562959,0.000499282
0.000254563,0.001396461,0.001950674,0.000634472
0.000296614,0.001632474,0.002377775,0.000786227
0.000339861,0.001876114,0.002839469,0.000953166
0.000383746,0.002124231,0.003330425,0.001133606
0.000427758,0.002373899,0.003845035,0.001325657
0.000471434,0.002622468,0.004377631,0.00152731
0.000514372,0.002867595,0.004922666,0.001736519
0.000556224,0.003107253,0.005474848,0.001951255
0.000596702,0.003339729,0.006029237,0.002169563
0.000635569,0.00356361,0.006581311,0.002389596
0.000672638,0.003777762,0.007127005,0.002609641
0.000707768,0.003981307,0.007662728,0.00282814
0.000740856,0.004173598,0.008185359,0.003043692
0.000771836,0.004354189,0.008692238,0.003255063
0.000800672,0.004522812,0.00918114,0.003461179
0.000827352,0.004679351,0.009650248,0.003661125
0.000851889,0.004823819,0.010098122,0.003854131
0.00087431,0.004956339,0.010523662,0.00403957
0.000894661,0.005077119,0.010926076,0.00421694
0.000912996,0.005186443,0.011304844,0.004385856
0.000929382,0.005284651,0.011659686,0.004546039
0.00094389,0.005372127,0.011990531,0.004697302
0.000956597,0.005449289,0.012297487,0.004839543
0.000967584,0.005516577,0.012580819,0.004972732
0.000976934,0.005574449,0.012840918,0.005096901
0.000984729,0.005623369,0.013078285,0.005212138
0.000991055,0.005663805,0.013293509,0.005318574
0.000995992,0.005696223,0.013487248,0.005416383
0.000999624,0.005721084,0.01366022,0.005505767
2.46E-06,1.23E-05,5.43E-06,1.12E-06
6.15E-06,3.13E-05,1.67E-05,3.72E-06
1.30E-05,6.71E-05,4.20E-05,9.97E-06
2.43E-05,0.000126459,9.07E-05,2.27E-05
4.11E-05,0.000215721,0.000173877,4.56E-05
6.41E-05,0.000339724,0.000302871,8.26E-05
9.40E-05,0.000501536,0.000488363,0.000137821
0.00013088,0.000702249,0.000739152,0.000215082
0.000174444,0.000941076,0.001061484,0.000317398
0.000224248,0.001215629,0.001458724,0.000446931
0.000279593,0.001522269,0.001931337,0.000604845
0.000339636,0.001856483,0.002477123,0.000791308
0.000403455,0.002213241,0.00309161,0.001005571
0.000470101,0.002587297,0.003768519,0.001246086
0.000538643,0.00297344,0.004500255,0.001510667
0.000608197,0.003366679,0.005278368,0.001796645
0.000677951,0.003762376,0.006093969,0.002101024
0.000747173,0.004156332,0.006938077,0.002420624
0.000815224,0.004544832,0.0078019,0.002752197
0.000881556,0.004924664,0.008677049,0.003092531
0.000945709,0.005293114,0.009555696,0.003438525
0.001007308,0.005647941,0.010430675,0.003787254
0.001066059,0.005987349,0.011295542,0.004136003
0.001121736,0.006309947,0.012144606,0.0044823
0.001174178,0.006614707,0.01297292,0.004823927
0.001223278,0.006900924,0.013776269,0.005158927
0.00126898,0.007168174,0.014551126,0.005485599
0.001311265,0.007416271,0.015294612,0.005802491
0.001350152,0.007645239,0.016004444,0.006108386
0.001385688,0.007855267,0.01667888,0.006402287
0.001417942,0.008046691,0.017316663,0.006683399
0.001447002,0.008219959,0.01791697,0.006951113
0.001472971,0.008375608,0.018479357,0.007204986
0.001495965,0.008514248,0.01900371,0.007444722
0.001516104,0.008636541,0.019490204,0.00767016
0.001533518,0.008743186,0.019939255,0.00788125
0.001548336,0.008834906,0.020351484,0.008078044
0.001560691,0.008912439,0.020727685,0.008260681
0.001570716,0.008976525,0.021068791,0.008429372
0.001578541,0.009027905,0.021375848,0.008584388
0.001584297,0.009067307,0.02164999,0.008726053
3.90E-06,1.95E-05,8.60E-06,1.78E-06
9.74E-06,4.96E-05,2.64E-05,5.89E-06
2.06E-05,0.000106268,6.66E-05,1.58E-05
3.85E-05,0.000200424,0.000143807,3.60E-05
6.51E-05,0.000341895,0.000275576,7.22E-05
0.000101659,0.000538427,0.000480018,0.000130846
0.000149048,0.000794882,0.000774004,0.000218432
0.00020743,0.001112989,0.001171476,0.000340882
0.000276475,0.001491505,0.001682339,0.000503042
0.00035541,0.001926643,0.002311922,0.000708338
0.000443126,0.002412634,0.003060962,0.000958614
0.000538287,0.002942328,0.003925976,0.001254139
0.000639433,0.00350775,0.004899872,0.001593722
0.000745059,0.004100589,0.0059727,0.001974913
0.000853691,0.004712585,0.007132423,0.002394245
0.000963927,0.005335827,0.00836565,0.00284749
0.001074479,0.005962964,0.00965829,0.003329899
0.00118419,0.006587342,0.010996112,0.00383643
0.001292044,0.007203073,0.012365178,0.004361938
0.001397172,0.007805067,0.013752196,0.004901331
0.001498847,0.008389021,0.015144758,0.005449695
0.001596476,0.008951384,0.016531505,0.006002393
0.00168959,0.009489309,0.017902228,0.006555123
0.001777832,0.010000592,0.019247903,0.007103967
0.001860946,0.010483604,0.020560693,0.007645409
0.001938765,0.010937228,0.021833915,0.008176348
0.002011197,0.01136079,0.02306198,0.008694089
0.002078215,0.011753998,0.024240326,0.009196329
0.002139847,0.012116886,0.025365335,0.00968114
0.002196168,0.01244976,0.026434244,0.010146941
0.002247286,0.012753146,0.027445062,0.010592474
0.002293343,0.013027756,0.028396484,0.011016772
0.002334502,0.013274444,0.029287807,0.011419133
0.002370945,0.013494174,0.030118851,0.011799089
0.002402864,0.013687995,0.030889892,0.012156384
0.002430462,0.013857016,0.031601589,0.012490939
0.002453947,0.014002383,0.032254928,0.012802837
0.002473528,0.014125264,0.032851167,0.013092298
0.002489417,0.014226834,0.033391784,0.013359654
0.00250182,0.014308265,0.033878436,0.013605338
0.002510942,0.014370713,0.034312922,0.013829863
6.18E-06,3.10E-05,1.36E-05,2.81E-06
1.54E-05,7.85E-05,4.19E-05,9.34E-06
3.27E-05,0.000168423,0.00010551,2.50E-05
6.10E-05,0.00031765,0.000227919,5.70E-05
0.000103119,0.000541866,0.000436759,0.000114424
0.000161119,0.000853349,0.000760778,0.000207376
0.000236226,0.001259803,0.001226713,0.000346191
0.000328755,0.001763969,0.001856665,0.000540262
0.000438183,0.002363876,0.002666328,0.000797269
0.000563286,0.003053523,0.003664149,0.00112264
0.000702307,0.003823767,0.004851298,0.001519301
0.000853128,0.004663275,0.006222252,0.001987677
0.001013433,0.00555941,0.007765773,0.002525879
0.00118084,0.006498996,0.009466092,0.003130026
0.001353009,0.007468944,0.011304129,0.003794623
0.001527722,0.008456715,0.013258661,0.004512967
0.001702935,0.009450662,0.015307359,0.005277534
0.001876814,0.010440233,0.017427662,0.006080333
0.002047751,0.011416101,0.019597487,0.006913206
0.002214369,0.012370198,0.021795763,0.007768085
0.002375513,0.013295702,0.024002824,0.008637185
0.002530244,0.014186987,0.02620067,0.009513152
0.00267782,0.015039541,0.028373119,0.01038917
0.002817674,0.01584987,0.03050587,0.011259028
0.002949401,0.016615393,0.032586502,0.012117157
0.003072736,0.017334338,0.034604422,0.012958639
0.003187533,0.018005638,0.036550775,0.013779203
0.003293749,0.018628831,0.038418328,0.014575199
0.00339143,0.019203971,0.040201346,0.015343572
0.003480691,0.019731539,0.041895453,0.016081818
0.003561708,0.020212375,0.043497492,0.016787939
0.003634704,0.020647602,0.045005394,0.017460406
0.003699937,0.021038575,0.046418045,0.018098106
0.003757694,0.021386824,0.047735162,0.018700297
0.003808282,0.02169401,0.048957179,0.01926657
0.003852022,0.02196189,0.050085143,0.019796804
0.003889243,0.022192281,0.051120616,0.02029113
0.003920278,0.022387034,0.052065591,0.020749894
0.00394546,0.022548012,0.052922411,0.021173625
0.003965117,0.022677071,0.053693703,0.021563008
0.003979574,0.022776044,0.054382317,0.021918855
9.79E-06,4.91E-05,2.16E-05,4.46E-06
2.45E-05,0.000124473,6.64E-05,1.48E-05
5.18E-05,0.000266932,0.000167222,3.97E-05
9.67E-05,0.000503442,0.000361227,9.04E-05
0.000163432,0.000858801,0.000692216,0.00018135
0.000255357,0.001352467,0.001205752,0.000328669
0.000374392,0.001996653,0.001944209,0.000548675
0.000521041,0.002795702,0.002942615,0.000856257
0.000694473,0.003746492,0.004225845,0.001263585
0.000892749,0.004839508,0.005807285,0.001779264
0.001113081,0.006060262,0.00768879,0.00240793
0.001352116,0.007390793,0.009861605,0.003150256
0.001606182,0.008811071,0.012307921,0.004003249
0.001871505,0.010300215,0.015002745,0.004960757
0.002144375,0.011837478,0.017915837,0.006014073
0.002421276,0.013402991,0.021013561,0.007152571
0.00269897,0.014978289,0.024260529,0.008364328
0.00297455,0.016546655,0.027620983,0.009636678
0.003245467,0.018093302,0.031059924,0.010956693
0.003509538,0.019605442,0.034543956,0.012311586
0.003764934,0.021072267,0.038041912,0.013689016
0.004010167,0.022484859,0.041525264,0.015077329
0.004244058,0.023836066,0.044968364,0.016465724
