Z_Ji_0,Z_Ji_1,Z_Ji_5,Z_Ji_6
,,,
,,,
,,,
,,,
,,,
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.74885575862e-60,1.17979282377e-59,1.31868799914e-69,2.3604926153e-74
3.62209021976e-59,5.62855944252e-59,8.31010245456e-69,1.66871263602e-73
1.63454989461e-58,2.59122072433e-58,5.02156672388e-68,1.12822203065e-72
7.12970003539e-58,1.15252651688e-57,2.91378131025e-67,7.30627929443e-72
3.00934769115e-57,4.95834998658e-57,1.62572983738e-66,4.53849673571e-71
1.23047729152e-56,2.06557736285e-56,8.73326025303e-66,2.70794398841e-70
4.87895107364e-56,8.34105958376e-56,4.52250841186e-65,1.5539998966e-69
1.87785891736e-55,3.26824156344e-55,2.26033313335e-64,8.58802029723e-69
7.02257950927e-55,1.2437676305e-54,1.09156287345e-63,4.57603853761e-68
2.55401634288e-54,4.60148313991e-54,5.09894848692e-63,2.35365320765e-67
9.04114676103e-54,1.65643514235e-53,2.30632575306e-62,1.16985533372e-66
3.11788462358e-53,5.80681078017e-53,1.01112000689e-61,5.62496149641e-66
1.04829175451e-52,1.98399730664e-52,4.30073722168e-61,2.6190670735e-65
3.43894077929e-52,6.61186296396e-52,1.77639899071e-60,1.18205427966e-64
1.10156207525e-51,2.15085709304e-51,7.13146536651e-60,5.17605645466e-64
3.44781210593e-51,6.83465918498e-51,2.78500327552e-59,2.20101126806e-63
1.05517619585e-50,2.12295169909e-50,1.05885104176e-58,9.09667599664e-63
3.15964328677e-50,6.45015206998e-50,3.9223472139e-58,3.65713748645e-62
9.26310743657e-50,1.91815586602e-49,1.41672609378e-57,1.4313470091e-61
2.66038418668e-49,5.58661624076e-49,4.99308135561e-57,5.45792297085e-61
7.48952864405e-49,1.59448923255e-48,1.71829053431e-56,2.02912965274e-60
2.06790718726e-48,4.46220295433e-48,5.77777654344e-56,7.3603962528e-60
5.60284902531e-48,1.22509569519e-47,1.89950854122e-55,2.60674887759e-59
1.49043954325e-47,3.30151216863e-47,6.10953270831e-55,9.01966582878e-59
3.89462250573e-47,8.73773465935e-47,1.92362760936e-54,3.05106285592e-58
1.00016591101e-46,2.27216961471e-46,5.93240659261e-54,1.00959581504e-57
2.52543961591e-46,5.80823055852e-46,1.79299623221e-53,3.26991378719e-57
6.27271542569e-46,1.46017908077e-45,5.31373010067e-53,1.03720600661e-56
1.53326194165e-45,3.61175744509e-45,1.54495608623e-52,3.22383334034e-56
3.68978653722e-45,8.79357662481e-45,4.40906362704e-52,9.82402661647e-56
8.74552515181e-45,2.10826410957e-44,1.2356620652e-51,2.93655709676e-55
2.04239593057e-44,4.97930617225e-44,3.40234653139e-51,8.61458368913e-55
4.7014003192e-44,1.15894552378e-43,9.20827633065e-51,2.48133109239e-54
1.0671024528e-43,2.65930417266e-43,2.45068791576e-50,7.0208610049e-54
2.38907419774e-43,6.01781556363e-43,6.41638078289e-50,1.95229400522e-53
5.27771291409e-43,1.34346241465e-42,1.65333645366e-49,5.33748640234e-53
1.15079402619e-42,2.95987215659e-42,4.19442160089e-49,1.43531235672e-52
2.47755660671e-42,6.43756219163e-42,1.0480640398e-48,3.79795314147e-52
5.26814459025e-42,1.38263231964e-41,2.58028863157e-48,9.89272872731e-52
1.10669911669e-41,2.93332463482e-41,6.26135305536e-48,2.53752457501e-51
2.29754885085e-41,6.1490625e-41,1.49808796367e-47,6.41196559235e-51
4.7150340292e-41,1.27401991189e-40,3.53525471302e-47,1.59666192339e-50
9.56770021135e-41,2.60964464692e-40,8.23111919946e-47,3.91944773283e-50
1.92020253907e-40,5.28615619771e-40,1.89142011899e-46,9.48793141366e-50
3.81253515493e-40,1.05916620042e-39,4.29081705691e-46,2.26565153334e-49
7.49057590833e-40,2.09972468159e-39,9.61264235618e-46,5.33857674688e-49
1.45664941689e-39,4.11945750156e-39,2.12725909828e-45,1.24165350662e-48
2.80436252683e-39,8.00017108345e-39,4.65150084447e-45,2.8513181952e-48
5.34626337207e-39,1.53829341382e-38,1.00525818814e-44,6.46673778707e-48
1.00948183904e-38,2.9292462802e-38,2.1477669874e-44,1.44890329738e-47
1.88829884796e-38,5.52513255295e-38,4.53765659036e-44,3.2079299196e-47
3.49990615342e-38,1.03250033557e-37,9.48238716885e-44,7.02028898723e-47
6.42898367058e-38,1.91199315365e-37,1.96041905963e-43,1.51893709513e-46
1.1706115206e-37,3.50926775215e-37,4.01075298219e-43,3.25002071738e-46
2.11324424594e-37,6.38504090506e-37,8.12168971695e-43,6.87856453901e-46
3.78296724118e-37,1.15188327807e-36,1.62819076741e-42,1.44037542647e-45
6.71643411106e-37,2.06076849105e-36,3.2321749111e-42,2.98481761269e-45
1.18288730566e-36,3.65680678539e-36,6.35484214264e-42,6.12236707015e-45
2.06690001353e-36,6.4372580016e-36,1.2377194083e-41,1.24329163739e-44
3.58375309097e-36,1.12434056631e-35,2.38853673634e-41,2.50016571886e-44
6.16691964329e-36,1.94878039702e-35,4.56789782913e-41,4.97959815111e-44
1.05336114023e-35,3.35246357676e-35,8.65876124218e-41,9.82504867692e-44
1.78620157592e-35,5.72489624579e-35,1.62715190361e-40,1.92075921902e-43
3.00740166498e-35,9.70594933069e-35,3.03186116313e-40,3.72125648645e-43
5.0283108242e-35,1.63394715237e-34,5.60238946788e-40,7.14600395802e-43
8.34992903918e-35,2.73167263734e-34,1.02681451079e-39,1.36041149753e-42
1.37731136398e-34,4.53596216923e-34,1.86696189307e-39,2.56794157621e-42
2.25697789155e-34,7.48200900909e-34,3.36799837711e-39,4.80706782479e-42
3.67471761429e-34,1.22611572333e-33,6.02931107721e-39,8.9253694978e-42
5.94533532559e-34,1.99647589523e-33,1.0712420815e-38,1.64396193029e-41
9.55954644604e-34,3.23049881567e-33,1.88927304674e-38,3.00430412554e-41
1.52777097454e-33,5.19517489398e-33,3.30788536569e-38,5.44813547016e-41
2.42710986244e-33,8.30436965704e-33,5.75062012572e-38,9.80544691345e-41
3.83336120086e-33,1.31958888612e-32,9.92763490185e-38,1.75171884128e-40
6.01972800207e-33,2.08470410794e-32,1.70216133811e-37,3.10670054464e-40
9.39998834103e-33,3.27469691543e-32,2.8989115054e-37,5.47055433551e-40
1.45974311713e-32,5.1152241399e-32,4.90458918949e-37,9.56572159937e-40
2.25459464497e-32,7.94639080379e-32,8.24435263395e-37,1.66117234553e-39
3.46375031658e-32,1.22780838412e-31,1.37704533749e-36,2.86534505503e-39
5.29362130078e-32,1.88707586871e-31,2.2857458374e-36,4.90973264532e-39
8.04875000202e-32,2.8852792862e-31,3.77089729993e-36,8.35813819406e-39
1.21762454768e-31,4.38901156728e-31,6.18367155388e-36,1.41378347466e-38
1.83293427726e-31,6.64302114959e-31,1.00804471789e-35,2.37644382484e-38
2.7457889785e-31,1.0005143418e-30,1.63376836746e-35,3.97001342354e-38
4.0936575894e-31,1.49960746711e-30,2.63283122146e-35,6.59209563484e-38
6.07458219019e-31,2.23699697202e-30,4.21911064682e-35,1.08809884086e-37
8.97258242254e-31,3.32141236325e-30,6.72398390103e-35,1.78554856604e-37
1.31931780596e-30,4.9089096397e-30,1.06581488462e-34,2.91324869344e-37
1.93128466797e-30,7.22248326369e-30,1.6804547398e-34,4.72638520735e-37
2.81475930678e-30,1.05793980225e-29,2.6357329783e-34,7.6255018591e-37
4.08476223537e-30,1.54291197696e-29,4.11286334857e-34,1.22359207492e-36
5.90275231068e-30,2.24057381583e-29,6.3854760533e-34,1.95287299859e-36
8.49445646142e-30,3.24001248241e-29,9.86473474951e-34,3.10041462313e-36
1.21741932604e-29,4.66588614897e-29,1.51655039953e-33,4.89680053178e-36
1.7377927535e-29,6.69193389035e-29,2.32029367533e-33,7.69466094355e-36
2.47080198105e-29,9.55935424753e-29,3.53328218639e-33,1.20306126593e-35
3.49935825712e-29,1.36017125581e-28,5.35545995779e-33,1.87172964993e-35
4.9371588265e-29,1.92785709473e-28,8.08037283906e-33,2.89794918505e-35
6.93954715365e-29,2.72207298906e-28,1.21370896878e-32,4.46544833058e-35
9.71800310385e-29,3.82908720239e-28,1.81500541781e-32,6.84856639381e-35
1.35594090822e-28,5.36645648477e-28,2.70241771148e-32,1.0455083129e-34
1.885157861e-28,7.49380814674e-28,4.00653131331e-32,1.58884211252e-34
2.61169690783e-28,1.04271428198e-27,5.91501418242e-32,2.40375917633e-34
3.60570550455e-28,1.44577438089e-27,8.69647540813e-32,3.62067038434e-34
4.96105429379e-28,1.99770941441e-27,1.27338410995e-31,5.43006535681e-34
6.80295000676e-28,2.75096033609e-27,1.85708631423e-31,8.10902678051e-34
9.29785969747e-28,3.77554544061e-27,2.69766814187e-31,1.20589358509e-33
1.26664079344e-27,5.16465237067e-27,3.90351113078e-31,1.78588779198e-33
1.72000864117e-27,7.04191373543e-27,5.62676698405e-31,2.63409880806e-33
2.32828379423e-27,9.5708444085e-27,8.08024736387e-31,3.86963382848e-33
3.14188543788e-27,1.29670460844e-26,1.1560528381e-30,5.66231788225e-33
4.22682733235e-27,1.75139439753e-26,1.64794453342e-30,8.2533697009e-33
5.66928868871e-27,2.35830189853e-26,2.34068759104e-30,1.19841327178e-32
7.58145057466e-27,3.16597452498e-26,3.31286597927e-30,1.7335854233e-32
1.01089275688e-26,4.23767483851e-26,4.67247466984e-30,2.49845640207e-32
1.34402048532e-26,5.65560772163e-26,6.56742892381e-30,3.58765169883e-32
1.78185897001e-26,7.52629468651e-26,9.19965111595e-30,5.13315456643e-32
2.35573072225e-26,9.98738827559e-26,1.28438924586e-29,7.31841637559e-32
3.10585179037e-26,1.32162895954e-25,1.7872801789e-29,1.03975561488e-31
4.08372142673e-26,1.74410177311e-25,2.47902111145e-29,1.47213981776e-31
5.35511725792e-26,2.29538843342e-25,3.4275195849e-29,2.07726678639e-31
7.00384003663e-26,3.01286538941e-25,4.72402217394e-29,2.92134139842e-31
9.13638408647e-26,3.94420246306e-25,6.49076543142e-29,4.09487021621e-31
1.18877481976e-25,5.15004519615e-25,8.89101351327e-29,5.72118953648e-31
1.54286482484e-25,6.70735624551e-25,1.21421890413e-28,7.96784865253e-31
1.99744486935e-25,8.71356785372e-25,1.65330016474e-28,1.10617582154e-30
2.57961969985e-25,1.12917301795e-24,2.24457287655e-28,1.53092888316e-30
3.32342251371e-25,1.45968795797e-24,3.03851185413e-28,2.11228590819e-30
4.27148777516e-25,1.88238979988e-24,4.10157811436e-28,2.90560062573e-30
5.47710402471e-25,2.42171908545e-24,5.52104318517e-28,3.98495139415e-30
7.00672751303e-25,3.10825778438e-24,7.41119710359e-28,5.44919114367e-30
8.94305349909e-25,3.98018708507e-24,9.92131618119e-28,7.42986024824e-30
1.13887609923e-24,5.08507078199e-24,1.32458631453e-27,1.01015076381e-29
1.44710690806e-24,6.48203236456e-24,1.76375120971e-27,1.36951167576e-29
1.83472693363e-24,8.24440717682e-24,2.34237391291e-27,1.85155239159e-29
2.32114297831e-24,1.04629666701e-23,3.10279027855e-27,2.49639569418e-29
2.93025022793e-24,1.32498302055e-23,4.09959645235e-27,3.35671238737e-29
3.69141077905e-24,1.67432015341e-23,5.4030277208e-27,4.50146594572e-29
4.64063238549e-24,2.11130925042e-23,7.10322105821e-27,6.020720958e-29
5.82198567094e-24,2.65682263195e-23,9.31557999667e-27,8.03180225464e-29
7.28930483056e-24,3.33643474712e-23,1.21875114124e-26,1.06871648236e-28
9.1082247259e-24,4.18142060668e-23,1.59068659367e-26,1.41844254463e-28
1.13586164256e-23,5.22995315701e-23,2.07124892349e-26,1.87791194033e-28
1.41374938477e-23,6.52853659363e-23,2.69073830534e-26,2.48008844211e-28
1.75624764249e-23,8.13371899314e-23,3.48750859272e-26,3.26739450763e-28
2.17759068802e-23,1.01141350337e-22,4.51000175548e-26,4.29429811436e-28
2.69497395355e-23,1.25529381232e-22,5.81926925884e-26,5.63057213164e-28
3.32913333746e-23,1.55506911259e-22,7.49209042322e-26,7.36539194449e-28
4.10503056922e-23,1.92287962546e-22,9.62482118324e-26,9.61247560637e-28
5.05266269471e-23,2.3733557793e-22,1.23381346893e-25,1.25165177997e-27
6.20801658426e-23,2.9240986356e-22,1.57828487245e-25,1.62612260522e-27
7.61419261319e-23,3.59624706584e-22,2.01470749485e-25,2.1079337049e-27
9.32272537447e-23,4.4151462528e-22,2.56649726994e-25,2.72650749448e-27
1.13951335125e-22,5.41113435101e-22,3.26274468549e-25,3.51896152026e-27
1.39047355823e-22,6.62046672242e-22,4.139519667e-25,4.5320240112e-27
1.69387743132e-22,8.0864001065e-22,5.24146024095e-25,5.82440198038e-27
2.06008978699e-22,9.86046243476e-22,6.62370311411e-25,7.46970300625e-27
2.50140537497e-22,1.20039378088e-21,8.35422547207e-25,9.5600331168e-27
3.03238589256e-22,1.45896004843e-21,1.05166804659e-24,1.22104186952e-26
3.6702518861e-22,1.77037366047e-21,1.3213824353e-24,1.55642307996e-26
4.43533781924e-22,2.14484979755e-21,1.65716514661e-24,1.9799826647e-26
5.35161973465e-22,2.59446384402e-21,2.07443745462e-24,2.51386663073e-26
6.44732622642e-22,3.13346904973e-21,2.59204129882e-24,3.18552141279e-26
7.75564489189e-22,3.77866477763e-21,3.23295807969e-24,4.02889954916e-26
9.31553806073e-22,4.54982279714e-21,4.02517001922e-24,5.08592518756e-26
1.11726834258e-21,5.47018009309e-21,5.00269065925e-24,6.40827227617e-26
1.33805572464e-21,6.56700779361e-21,6.20679570054e-24,8.05951839916e-26
1.60016800814e-21,7.87226709195e-21,7.687490765e-24,1.01177491264e-25
1.91090475665e-21,9.4233644605e-21,9.50525890367e-24,1.26787017621e-25
2.27877715988e-21,1.12640200484e-20,1.1733137901e-23,1.58595538446e-25
2.71369604707e-21,1.34452649326e-20,1.44591857858e-23,1.98034810623e-25
3.22718700271e-21,1.60265848772e-20,1.77894026131e-23,2.46851318727e-25
3.83263618516e-21,1.90772304683e-20,2.18511877139e-23,3.07171925607e-25
4.54557088492e-21,2.26777159532e-20,2.67974244292e-23,3.81582473505e-25
5.38397934296e-21,2.69215318496e-20,3.28112990852e-23,4.73221741866e-25
6.36867488552e-21,3.19170994313e-20,4.01119778937e-23,5.85893586943e-25
7.52371002459e-21,3.77899985666e-20,4.8961284866e-23,7.24200575315e-25
8.87684682855e-21,4.4685504121e-20,5.96715460588e-23,8.93702988565e-25
1.04600905909e-20,5.27714702714e-20,7.2614790879e-23,1.10110773128e-24
1.23102946221e-20,6.22416066442e-20,8.82335301993e-23,1.35449243242e-24
1.44698448699e-20,7.33191952383e-20,1.07053364138e-22,1.66357090576e-24
1.69874340369e-20,8.62613026593e-20,1.29697710058e-22,2.04000714589e-24
1.99189359321e-20,1.0136354832e-19,1.56904984219e-22,2.49778620032e-24
2.33283919544e-20,1.18965496014e-19,1.89548619254e-22,3.05365159879e-24
2.72891228905e-20,1.39456743691e-19,2.28660354919e-22,3.72762056046e-24
3.18849806105e-20,1.6328379441e-19,2.75457302192e-22,4.54358996729e-24
3.72117557798e-20,1.90957800387e-19,3.3137335176e-22,5.5300481174e-24
4.33787593857e-20,2.23063281875e-19,3.98095578021e-22,6.7209095914e-24
5.05105977127e-20,2.60267933313e-19,4.77606380309e-22,8.15649321481e-24
5.87491624005e-20,3.03333640972e-19,5.72232205065e-22,9.88466612683e-24
6.82558594049e-20,3.53128849113e-19,6.84699807692e-22,1.19621804164e-23
7.92141030583e-20,4.10642425719e-19,8.18201142179e-22,1.44562327171e-23
9.18321040172e-20,4.76999194135e-19,9.76468111979e-22,1.74462816227e-23
1.06345982697e-19,5.53477313599e-19,1.16385857881e-21,2.10261628651e-23
1.23023242855e-19,6.41527709803e-19,1.38545520909e-21,2.53065479594e-23
1.42166643297e-19,7.42795776338e-19,1.64717894258e-21,3.04177985519e-23
1.64118509289e-19,8.591455893e-19,1.95591909741e-21,3.65132761052e-23
1.89265529143e-19,9.9268690065e-19,2.31968238148e-21,4.37731749095e-23
2.18044085685e-19,1.14580520112e-18,2.74776336693e-21,5.24089558615e-23
2.50946176853e-19,1.3211951709e-18,3.2509393031e-21,6.26684690974e-23
2.88525984633e-19,1.52189786581e-18,3.841692499e-21,7.48418655788e-23
3.31407156836e-19,1.75134201908e-18,4.53446390201e-21,8.92684112409e-23
3.80290871996e-19,2.01338987295e-18,5.34594193936e-21,1.06344332508e-22
4.35964763837e-19,2.31238799243e-18,6.29539117754e-21,1.26531839051e-22
4.99312788428e-19,2.65322355338e-18,7.40502589668e-21,1.50369488795e-22
5.71326124339e-19,3.04138664091e-18,8.70043427789e-21,1.78484081685e-22
6.53115203802e-19,3.48303914117e-18,1.02110595668e-20,2.11604292675e-22
7.45922981187e-19,3.98509085977e-18,1.19707453124e-20,2.50576281368e-22
8.51139553998e-19,4.5552835548e-18,1.40183525941e-20,2.96381545672e-22
9.70318261133e-19,5.20228363059e-18,1.63984580477e-20,3.50157320412e-22
1.10519339339e-18,5.93578430137e-18,1.91621424909e-20,4.13219859171e-22
1.25769966218e-18,6.76661810102e-18,2.23678810434e-20,4.87090979266e-22
1.42999358403e-18,7.70688068771e-18,2.60825468357e-20,5.73528296078e-22
1.62447695121e-18,8.77006696918e-18,3.03825417253e-20,6.74559624445e-22
1.843822572e-18,9.97122065778e-18,3.53550688916e-20,7.9252208204e-22
2.0910024785e-18,1.13270984525e-17,4.10995637779e-20,9.30106493066e-22
2.3693188153e-18,1.28563501408e-17,4.77293015986e-20,1.090407761e-21
2.68243763824e-18,1.45797160128e-17,5.53732015514e-20,1.27698195698e-21
3.03442587041e-18,1.65202430914e-17,6.41778499731e-20,1.49391095669e-21
3.42979168038e-18,1.8703521793e-17,7.4309766984e-20,1.7458755538e-21
3.87352856777e-18,2.11579447611e-17,8.5957943674e-20,2.03823808336e-21
4.37116346199e-18,2.39149897425e-17,9.93366796379e-20,2.37713570474e-21
4.92880916219e-18,2.70095285167e-17,1.14688753664e-19,2.76958562152e-21
5.55322147006e-18,3.04801640382e-17,1.3228896365e-19,3.22360365705e-21
6.25186139216e-18,3.4369598108e-17,1.5244807539e-19,3.74833775956e-21
7.03296281501e-18,3.87250320574e-17,1.75517223751e-19,4.3542181813e-21
7.90560608416e-18,4.35986031088e-17,2.01892813993e-19,5.05312626388e-21
8.87979794852e-18,4.90478592615e-17,2.32021975561e-19,5.85858396777e-21
9.96655836243e-18,5.51362757569e-17,2.66408625684e-19,6.78596650992e-21
1.11780146715e-17,6.19338163832e-17,3.05620205519e-19,7.85274072063e-21
1.25275037433e-17,6.95175431102e-17,3.50295157457e-19,9.07873200229e-21
1.4029682642e-17,7.79722777786e-17,4.01151218559e-19,1.04864230688e-20
1.57006484831e-17,8.7391319821e-17,4.58994612021e-19,1.21012879685e-20
1.755806815e-17,9.78772242585e-17,5.24730225968e-19,1.39521652493e-20
1.96213185922e-17,1.09542644495e-16,5.99372877018e-19,1.60716745071e-20
2.19116384774e-17,1.2251124473e-16,6.84059764699e-19,1.84966809872e-20
2.44522920121e-17,1.36918687125e-16,7.80064232292e-19,2.126881336e-20
2.72687458014e-17,1.5291369918e-16,8.88810959767e-19,2.44350402991e-20
3.03888596693e-17,1.70659227136e-16,1.01189272549e-18,2.80483120323e-20
3.38430924185e-17,1.90333681575e-16,1.15108888513e-18,3.21682736265e-20
3.76647235678e-17,2.12132281786e-16,1.30838572899e-18,3.68620574149e-20
4.18900921677e-17,2.36268505842e-16,1.48599889252e-18,4.22051626704e-20
4.655885386e-17,2.62975653818e-16,1.68639800973e-18,4.82824313891e-20
5.17142574157e-17,2.9250853194e-16,1.91233381469e-18,5.51891298697e-20
5.74034420576e-17,3.25145266024e-16,2.16686791359e-18,6.30321466644e-20
6.36777569496e-17,3.61189252966e-16,2.453405468e-18,7.19313184432e-20
7.05931043125e-17,4.00971259632e-16,2.77573104918e-18,8.20208963545e-20
7.82103077109e-17,4.44851678995e-16,3.13804794488e-18,9.34511665964e-20
8.65955071392e-17,4.93222953956e-16,3.54502122177e-18,1.06390240127e-19
9.58205826274e-17,5.46512179867e-16,4.00182487132e-18,1.21026027768e-19
1.05963608181e-16,6.05183897424e-16,4.51419339216e-18,1.37568418356e-19
1.17109337967e-16,6.69743088205e-16,5.08847818964e-18,1.56251679162e-19
1.29349726763e-16,7.40738385856e-16,5.73170920276e-18,1.77337099404e-19
1.42784486792e-16,8.18765516614e-16,6.45166219964e-18,2.011158995e-19
1.57521683177e-16,9.04470983598e-16,7.25693221658e-18,2.27912430589e-19
1.73678370365e-16,9.98556010101e-16,8.15701365104e-18,2.58087690917e-19
1.91381272001e-16,1.10178075788e-15,9.16238755719e-18,2.92043187895e-19
2.10767506844e-16,1.21496883737e-15,1.0284616733e-17,3.30225177014e-19
2.31985363456e-16,1.33901212748e-15,1.15364492311e-17,3.7312931134e-19
2.55195126545e-16,1.47487592377e-15,1.29319309712e-17,4.21305738054e-19
2.80569957947e-16,1.62360443449e-15,1.44865281815e-17,4.75364681443e-19
3.08296835442e-16,1.78632664528e-15,1.6217260447e-17,5.35982554855e-19
3.38577552677e-16,1.96426257394e-15,1.81428451988e-17,6.03908647551e-19
3.71629783699e-16,2.15872993833e-15,2.02838545377e-17,6.79972435929e-19
