ry_int,ry_out,lambda
7.00E-15,6.99E-15,1201.673303
7.00E-15,6.99E-15,1201.683273
7.00E-15,6.99E-15,1201.693243
7.00E-15,6.99E-15,1201.703213
7.00E-15,6.99E-15,1201.713183
7.00E-15,6.99E-15,1201.723153
7.00E-15,6.99E-15,1201.733123
7.00E-15,6.99E-15,1201.743093
7.00E-15,6.99E-15,1201.753063
7.00E-15,6.99E-15,1201.763033
7.00E-15,6.99E-15,1201.773003
7.00E-15,6.99E-15,1201.782973
7.00E-15,6.99E-15,1201.792943
7.00E-15,6.99E-15,1201.802913
7.00E-15,6.99E-15,1201.812883
7.00E-15,6.99E-15,1201.822853
7.00E-15,6.99E-15,1201.832823
7.00E-15,6.99E-15,1201.842793
7.00E-15,6.99E-15,1201.852763
7.00E-15,6.99E-15,1201.862733
7.00E-15,6.99E-15,1201.872703
7.00E-15,6.99E-15,1201.882673
7.00E-15,6.99E-15,1201.892643
7.00E-15,6.99E-15,1201.902613
7.00E-15,6.99E-15,1201.912583
7.00E-15,6.99E-15,1201.922553
7.00E-15,6.99E-15,1201.932523
7.00E-15,6.99E-15,1201.942493
7.00E-15,6.99E-15,1201.952463
7.00E-15,6.99E-15,1201.962433
7.00E-15,6.99E-15,1201.972403
7.00E-15,6.99E-15,1201.982373
7.00E-15,6.99E-15,1201.992343
7.00E-15,6.99E-15,1202.002313
7.00E-15,6.99E-15,1202.012283
7.00E-15,6.99E-15,1202.022253
7.00E-15,6.99E-15,1202.032223
7.00E-15,6.99E-15,1202.042193
7.00E-15,6.99E-15,1202.052163
7.00E-15,6.99E-15,1202.062133
7.00E-15,6.99E-15,1202.072103
7.00E-15,6.99E-15,1202.082073
7.00E-15,6.99E-15,1202.092043
7.00E-15,6.99E-15,1202.102013
7.00E-15,6.99E-15,1202.111983
7.00E-15,6.99E-15,1202.121953
7.00E-15,6.99E-15,1202.131923
7.00E-15,6.99E-15,1202.141893
7.00E-15,6.99E-15,1202.151863
7.00E-15,6.99E-15,1202.161833
7.00E-15,6.99E-15,1202.171803
7.00E-15,6.99E-15,1202.181773
7.00E-15,6.99E-15,1202.191743
7.00E-15,6.99E-15,1202.201713
7.00E-15,6.99E-15,1202.211683
7.00E-15,6.99E-15,1202.221653
7.00E-15,6.99E-15,1202.231623
7.00E-15,6.99E-15,1202.241593
7.00E-15,6.99E-15,1202.251563
7.00E-15,6.99E-15,1202.261533
7.00E-15,6.99E-15,1202.271503
7.00E-15,6.99E-15,1202.281473
7.00E-15,6.99E-15,1202.291443
7.00E-15,6.99E-15,1202.301413
7.00E-15,6.99E-15,1202.311383
7.00E-15,6.99E-15,1202.321353
7.00E-15,6.99E-15,1202.331323
